spec_id;source_row;system;item;source_value;source_confidence;source_commit;wbs_id;operational_status;next_action
SPEC-0001;2;Identity;Designer;Van de Stadt Design;CONFIRMED-430;786f60ae55773337f780860f8043b4232c8b16b7;W00;IMPORTED_NOT_REVALIDATED;None
SPEC-0002;3;Identity;Design number;430;CONFIRMED-430;786f60ae55773337f780860f8043b4232c8b16b7;W00;IMPORTED_NOT_REVALIDATED;Recover original drawing revision
SPEC-0003;4;Hull;LOA;20.50 m;CONFIRMED-430/HULL;786f60ae55773337f780860f8043b4232c8b16b7;W10;IMPORTED_NOT_REVALIDATED;Physical verification
SPEC-0004;5;Hull;LWL;17.50 m;CONFIRMED-430/HULL;786f60ae55773337f780860f8043b4232c8b16b7;W10;IMPORTED_NOT_REVALIDATED;Confirm design waterline on hull
SPEC-0005;6;Hull;Beam;5.50 m official list / 5.75 m design-listing variants / 5.80 m BoatNet;CONFLICT;786f60ae55773337f780860f8043b4232c8b16b7;W10;IMPORTED_NOT_REVALIDATED;Measure maximum beam and recover drawing
SPEC-0006;7;Hull;Draft;2.50 m original / 2.80-3.00 m current listings;CONFLICT;786f60ae55773337f780860f8043b4232c8b16b7;W10;IMPORTED_NOT_REVALIDATED;Measure keel geometry and installed ballast condition
SPEC-0007;8;Hull;Freeboard;~1.80 m;CONFIRMED-HULL listing;786f60ae55773337f780860f8043b4232c8b16b7;W10;IMPORTED_NOT_REVALIDATED;Measure bow/mid/aft from datum
SPEC-0008;9;Hull;Original design displacement;51 t;CONFIRMED-430;786f60ae55773337f780860f8043b4232c8b16b7;W10;IMPORTED_NOT_REVALIDATED;Recover loading definition and hydrostatics
SPEC-0009;10;Hull;Current unfinished dry weight;11 t;CONFIRMED-HULL listing;786f60ae55773337f780860f8043b4232c8b16b7;W10;IMPORTED_NOT_REVALIDATED;Calibrated weighing and inventory condition
SPEC-0010;11;Stability;Original ballast;19 t;CONFIRMED-430;786f60ae55773337f780860f8043b4232c8b16b7;W10;IMPORTED_NOT_REVALIDATED;Recover ballast drawing and CG
SPEC-0011;12;Stability;Current listing ballast;15 t;CONFIRMED-HULL listing;786f60ae55773337f780860f8043b4232c8b16b7;W10;IMPORTED_NOT_REVALIDATED;Confirm installed/planned and material
SPEC-0012;13;Rig;Total sail area;241 m2;CONFIRMED-430/HULL;786f60ae55773337f780860f8043b4232c8b16b7;W20;IMPORTED_NOT_REVALIDATED;Recover sail plan
SPEC-0013;14;Rig;Mainsail area;131 m2;CONFIRMED-HULL listing;786f60ae55773337f780860f8043b4232c8b16b7;W20;IMPORTED_NOT_REVALIDATED;Recover P/E dimensions
SPEC-0014;15;Rig;Headsail area;110 m2;CONFIRMED-HULL listing;786f60ae55773337f780860f8043b4232c8b16b7;W20;IMPORTED_NOT_REVALIDATED;Recover I/J dimensions
SPEC-0015;16;Rig;Air draft;~32 m;CONFIRMED-HULL listing;786f60ae55773337f780860f8043b4232c8b16b7;W20;IMPORTED_NOT_REVALIDATED;Measure mast plan before ordering
SPEC-0016;17;Rig;Mast material;Unknown;TO-DECIDE;786f60ae55773337f780860f8043b4232c8b16b7;W20;IMPORTED_NOT_REVALIDATED;Compare aluminium vs carbon using RM/weight/cost
SPEC-0017;18;Rig;Boom;Unknown;TO-DECIDE;786f60ae55773337f780860f8043b4232c8b16b7;W20;IMPORTED_NOT_REVALIDATED;Define sail-handling system
