name,color,off,frozen,locked,entities
0,7,False,False,False,2
TEXT,7,False,False,False,0
DIM,2,False,False,False,0
P1,1,False,False,False,197
P3,7,False,False,False,217
P5,3,False,False,False,207
HIDDEN,5,False,False,False,1
CENTER,1,False,False,False,147
HATCH,6,False,False,False,0
HELP,4,False,True,False,186
DEFPOINTS,7,False,False,False,0
49,7,False,False,False,3
48,7,False,False,False,3
47,7,False,False,False,3
46,7,False,False,False,3
45,7,False,False,False,3
44,7,False,False,False,3
43,7,False,False,False,3
42,7,False,False,False,3
41,7,False,False,False,3
40,7,False,False,False,3
39,7,False,False,False,3
38,7,False,False,False,3
37,7,False,False,False,3
36,7,False,False,False,3
35,7,False,False,False,3
34,7,False,False,False,3
33,7,False,False,False,3
32,7,False,False,False,3
31,7,False,False,False,3
30,7,False,False,False,3
29,7,False,False,False,3
28,7,False,False,False,4
27,7,False,False,False,3
26,7,False,False,False,3
25,7,False,False,False,3
24,7,False,False,False,3
23,7,False,False,False,5
22,7,False,False,False,5
21,7,False,False,False,4
20,7,False,False,False,4
19,7,False,False,False,4
18,7,False,False,False,4
17,7,False,False,False,4
16,7,False,False,False,4
15,7,False,False,False,8
14,7,False,False,False,4
13,7,False,False,False,8
12,7,False,False,False,4
11,7,False,False,False,7
10,7,False,False,False,5
9,7,False,False,False,5
8,7,False,False,False,5
7,7,False,False,False,10
6,7,False,False,False,5
5,7,False,False,False,5
4,7,False,False,False,3
3,7,False,False,False,9
2,7,False,False,False,4
1,7,False,False,False,1
-1,7,False,False,False,1
-2,7,False,False,False,1
-3,7,False,False,False,1
-4,7,False,False,False,1
TEMP,7,False,True,False,45
AME_FRZ,7,False,False,False,5
TXT,7,False,False,False,35
P7,4,False,False,False,0
