option;zone_id;level;xw_min_m;xw_max_m;yw_min_m;yw_max_m;label;kind;status;source_refs;height_status;limit
A;A-VIP;lower;-4.399999999999999;-2.1999999999999993;-1.1;1.1;VIP;cabin;PROPOSED_NOT_FIT_CHECKED;"P01;P03;L01";OPEN;"Чистая ширина сечения/высота/койка OPEN; оконечное хранение не отменено"
A;A-GUEST;lower;-8.6;-5.6;0.5;2.25;GUEST;cabin;PROPOSED_NOT_FIT_CHECKED;"P01;P03;L01";OPEN;Мебель и чистый проход не размещены
A;A-CONV;lower;-8.6;-6.6;-2.25;-0.5;"CONVERTIBLE
2 нижние + 1 верхняя?";cabin;PROPOSED_NOT_FIT_CHECKED;"P01;P03;L01";OPEN;"Конфигурация brief не доказана; голова/разложенная койка/доступ конфликтуют с E4"
A;A-E2;lower;-5.6;-4.399999999999999;-1.6;-0.45;"E2
VIP";wet;PROPOSED_NOT_FIT_CHECKED;"P01;P03;L01";OPEN;"Частная дверь из VIP предлагается; душ и уклоны OPEN"
A;A-E3;lower;-5.6;-4.399999999999999;0.45;1.6;"E3
GUEST";wet;PROPOSED_NOT_FIT_CHECKED;"P01;P03;L01";OPEN;"Частная дверь из GUEST в передний санузел предлагается; дверные створки/душ OPEN"
A;A-E4;lower;-6.6;-5.6;-2;-0.5;"E4
CONV";wet;PROPOSED_NOT_FIT_CHECKED;"P03;L01";OPEN;"Новый четвёртый санузел отнимает длину convertible; ещё не полноценный ensuite"
A;A-FORE;lower;-2.1999999999999993;-0.8999999999999986;-0.6;0.6;"Носовое
хранение";service;PROPOSED_NOT_FIT_CHECKED;"P01;L01";OPEN;Якорное/парусное назначение и перегородка OPEN
A;A-ROOF;upper;-15.1;-8.7;-2;2;FC-01: зона исследования крыши;future;PROPOSED_NOT_FIT_CHECKED;"P04;L02";OPEN;"Продление рубки вперёд — только один условный сценарий; высота и опоры OPEN"
A;A-HARDTOP;upper;-18.0;-15.1;-1.9;1.9;"FC-02
HARDTOP";future;PROPOSED_NOT_FIT_CHECKED;"P04;L02";OPEN;"Опоры/гик/высота/обзор OPEN; не конструктивный контур"
A;A-TECHUP;upper;-15.0;-13.7;-1.7;-0.65;"Пульт /
лестницы";service;PROPOSED_NOT_FIT_CHECKED;"P01;P03;L01";OPEN;Количество экранов/ступени/обзор OPEN
B;B-VIP;lower;-4.399999999999999;-2.1999999999999993;-1.1;1.1;VIP;cabin;PROPOSED_NOT_FIT_CHECKED;"P01;P03;L01";OPEN;"Чистая ширина сечения/высота/койка OPEN; оконечное хранение не отменено"
B;B-GUEST;lower;-8.6;-5.6;0.5;2.25;GUEST;cabin;PROPOSED_NOT_FIT_CHECKED;"P01;P03;L01";OPEN;Мебель и чистый проход не размещены
B;B-CONV;lower;-8.6;-6.6;-2.25;-0.5;"CONVERTIBLE
2 нижние + 1 верхняя?";cabin;PROPOSED_NOT_FIT_CHECKED;"P01;P03;L01";OPEN;"Конфигурация brief не доказана; голова/разложенная койка/доступ конфликтуют с E4"
B;B-E2;lower;-5.6;-4.399999999999999;-1.6;-0.45;"E2
VIP";wet;PROPOSED_NOT_FIT_CHECKED;"P01;P03;L01";OPEN;"Частная дверь из VIP предлагается; душ и уклоны OPEN"
B;B-E3;lower;-5.6;-4.399999999999999;0.45;1.6;"E3
GUEST";wet;PROPOSED_NOT_FIT_CHECKED;"P01;P03;L01";OPEN;"Частная дверь из GUEST в передний санузел предлагается; дверные створки/душ OPEN"
