id;basis;label;zone;x;y;z;dx;dy;dz;note
D;MAIN;Yanmar + редуктор;wet;0.5;1.16;0.15;1.34;0.88;0.766;
V;ME-03;Муфта / вал;wet;0;1.4;0.15;0.5;0.4;0.35;Условная зона линии, не утверждённая ось/комплект
G1;GEN;Panda 1;wet;2.75;0.2;0.15;0.45;0.705;0.59;"Продольная ось генератора поперёк МО; ремни к центральному проходу"
G2;GEN;Panda 2;wet;2.75;2.295;0.15;0.45;0.705;0.59;"Продольная ось генератора поперёк МО; ремни к центральному проходу"
H;AX09;Гидробак / фильтр;wet;0.6;0;0.15;1;0.45;0.85;
W24;AX14;Вода 24 В;wet;0.6;2.8;0.15;0.65;0.4;0.55;
W220;AX15;Вода 220 В;wet;1.3;2.8;0.15;0.65;0.4;0.55;
HW;AX16;ГВС / коллектор;wet;3.85;0.05;0.15;0.55;0.9;0.7;
C1;AX11;Чиллер 1;wet;4.0;1.05;0.15;0.4;0.45;0.45;
C2;AX11;Чиллер 2;wet;4.0;1.6;0.15;0.4;0.45;0.45;
CP;AX12;Насосы климата;wet;4.0;2.35;0.15;0.4;0.75;0.6;
RO;AX13;Опреснитель 150 л/ч;wet;2.0;0;1.2;1.2;0.45;0.55;"Верхняя полка; извлечение мембраны вдоль x+ на1м, крепление не рассчитано"
F;AX17;Топливный стенд;wet;0.65;0;1.1;0.8;0.25;0.7;
OIL;AX22;Маслосмена / контроль;wet;1.5;0;1.2;0.45;0.2;0.6;
EX1;AX18;Охл./выхлоп 1;wet;0;0;0.1;0.6;0.45;0.6;Карманы трёх независимых контуров, уклоны/петли/противодавление не проверены
EX2;AX18;Охл./выхлоп 2;wet;0;2.75;0.1;0.6;0.45;0.6;Карманы трёх независимых контуров, уклоны/петли/противодавление не проверены
EX3;AX18;Охл./выхлоп 3;wet;1.9;0;0.1;0.6;0.45;0.6;Карманы трёх независимых контуров, уклоны/петли/противодавление не проверены
BIL;AX19;Осушение;wet;0;0.65;0.05;0.5;0.35;0.4;
AIR1;AX21;Воздух 1;wet;0;0;1.1;0.4;0.4;0.9;"Шахта продолжается наружу; сечение не рассчитано"
AIR2;AX21;Воздух 2;wet;3.95;2.8;1.1;0.4;0.4;0.9;"Шахта продолжается наружу; сечение не рассчитано"
BS1;AX03;С1;dry;4.5;0.05;0.1;0.45;0.22;0.38;
BS2;AX03;С2;dry;4.5;0.27;0.1;0.45;0.22;0.38;
BS3;AX03;С3;dry;4.5;0.49;0.1;0.45;0.22;0.38;
BS4;AX03;С4;dry;4.5;0.05;0.9;0.45;0.22;0.38;
BS5;AX03;С5;dry;4.5;0.27;0.9;0.45;0.22;0.38;
BS6;AX03;С6;dry;4.5;0.49;0.9;0.45;0.22;0.38;
BD;AX04;Пуск Д;dry;4.5;0.8;0.1;0.3;0.55;0.38;
BG1;AX05;Пуск G1;dry;4.5;0.8;0.9;0.3;0.55;0.38;
BG2;AX05;Пуск G2;dry;4.5;0.8;1.7;0.3;0.55;0.38;
DC;AX07;Щит 24 В / резерв пуска;dry;4.5;1.4;0.1;0.3;0.8;0.9;
AC;AX08;Щит 220 В;dry;4.5;2.3;0.1;0.3;0.8;0.9;
INV1;AX01;Инв. 1;dry;4.5;1.45;1.2;0.2;0.3;0.55;
INV2;AX01;Инв. 2;dry;4.5;1.9;1.2;0.2;0.3;0.55;
ISO;AX06;Берег;dry;4.5;2.35;1.2;0.3;0.35;0.45;
IW;AX02;Резерв воды;dry;4.5;2.8;1.2;0.2;0.3;0.35;
