candidate_id;model;length_mm;width_mm;height_mm;mass_kg;box_m3;installation_limit;scope_notes;spec_url
PROP-E02;D4-300 I + HS85A;1234;848;794;605;0.8309;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"300 metric hp crank / 289 prop shaft; 3500rpm R5; 24V option price open; ratio2.500. L=433+801 W=441+407 H=274+520 from drawing; excludes projecting lifting eye/service space; not installation GA; ME-03 partial only factory mounts where included: shaft/coupling/thrust unit quantities and price OPEN";https://www.dbmoteurs.fr/sites/default/files/Moteur-Volvo-Penta-D4-270-300-320-fiche-commerciale-2021-47711815-en.pdf
PROP-E03;D6-300 I + HS85A;1470;848;794;690;0.9898;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"300 metric hp crank /289 prop shaft;3300rpm. 24V option price open; L=433+1037 W=441+407 H=274+520 drawing dimensions not installation/service envelope; lifting eye extends above dimension; ME-03 partial only factory mounts where included: shaft/coupling/thrust unit quantities and price OPEN";https://www.dbmoteurs.fr/sites/default/files/Moteur-Volvo-Penta-D6-300-340-380-fiche-commerciale-brochure-2021-47711891-fr-dbmoteurs.pdf
PROP-E04;C90 410 rating D 300hp + gearbox RFQ;1289;861;973;950;1.0799;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"Official2026 220kW300hp@2000rpm ratingD heavy duty; gearbox unselected/unpriced; shown dimensions length to flywheel and mass ENGINE ONLY; not complete package envelope;24V option RFQ; ME-03 partial only factory mounts where included: shaft/coupling/thrust unit quantities and price OPEN";https://www.fptindustrial.com/-/media/FPT/Brochures/Engines/MARINE/COMMERCIAL/Marine_Commercial_FR_2026.pdf?rev=-1
PROP-G01;Panda12000x PMS;705;450;590;195;0.1872;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"12kVA10.2kW nominal; Manel continuous10.8kVA9.2kW;50Hz230V +/-3V;12V starter;capsule included spec; verify exactJPCSKU/manufacturer0024660 and installation accessories; UK import/logistics not included; ME-19 partial factory cooling only: external seawater/exhaust runs and installation OPEN; JPC revision conflict H565 / additional700x470x580 and192kg vs OEM705x450x590/195kg: exactSKU CAD RFQ; OEM values retained";https://www.onefischerpanda.com/marine/marine-generators/xseries-generators/panda-12000x-pms/
PROP-G02;12EFKOZD;1064;652.5;711;385;0.4936;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"Singlephase115/230V50Hz:12kW12kVA continuous140C rise;11/11continuous115C;10.5/10.5prime. Official12or24V; JPC exactstarter/shield revision RFQ. Official shield mass385dry398wet; dealer406kg conflict. No borrowing US24V price scope; ME-19 partial factory cooling only: external seawater/exhaust runs and installation OPEN";https://techcomm.rehlko.com/techcomm/pdf/g2186.pdf
PROP-G03;Paguro12000V AP12023050M0;770;460;620;180;0.2196;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"12kVA10kW continuous50Hz230V;12V starter;mass165capsule+15control electronics. Official dimensions capsule only; separate electronics footprint RFQ. Dealer/allpa dimensions/mass differ; exact SKU installationdrawing required. Published net directly not Polish VAT assumption; ME-19 partial factory cooling only: external seawater/exhaust runs and installation OPEN";https://www.volpitecno.com/portfolio/paguro-12000-v-10-kw-2000-%C3%B7-3000-g-1/
PROP-G04;12EFKOZD24-SS;1064;652.5;711;385;0.4936;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"Alternative offer for G02 not fourthgenerator;24V plus shield explicitlySKU; tax/import/Poland availability unknown; price originalUSD noFX; ME-19 partial factory cooling only: external seawater/exhaust runs and installation OPEN";https://techcomm.rehlko.com/techcomm/pdf/g2186.pdf
EL-INV-A;MultiPlus-II 24/3000/70-32 PMP242305010;141;268;499;19;0.0189;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"24 V input; factory 230 V. 3000 VA not 3000 W: 2400 W at25C/2200 W at40C; charger70 A. 2 devices architecture target, capacity unapproved.";https://www.victronenergy.com/media/pg/MultiPlus-II_230V/en/technical-specifications-mp-ii-230v.html
EL-INV-B;MultiPlus-II GX 24/3000/70-32 PMP242306000;147;275;506;20;0.0205;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"24 V; factory230 V;2400 W at25C/2200 W at40C;70 A. GX monitoring differs; two GX units not required by yacht specification. Current manual geometry differs from catalogue: confirm revision.";https://www.victronenergy.com/media/pg/MultiPlus-II_GX/en/technical-specifications-mp-ii-gx-230v.html
EL-INV-C;CombiMaster 24/3000-60 230V 35023000;155;284;448;9.3;0.0197;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"24 V; factory230 V;3000 VA/2600 W at40C;60 A charger;25 A transfer versus32 A Victron. Parallel operation not qualified.";https://www.mastervolt.com/products/combimaster/combimaster-24-3000-60-230-v/
EL-ISO-A;3600 ITR040362042;221;258;362;21.7;0.0206;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"3.6 class; quantity and shore capacity unknown. Dimensions/mass from opened dealer data pending native drawing confirmation; no substitute of32A at115V for32A at230V.";https://www.victronenergy.com/upload/documents/Datasheet-Isolation-Transformers-EN.pdf
EL-ISO-B;Mass GI3.5 88000355;144;261;340;6;0.0128;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"3500 VA at230 V;16 A;HF technology;source IP23 supersedes dealer IP21. Not complete shore protection.";https://www.mastervolt.com/products/mass-gi/mass-gi-35-kva-16a-lightweight/
EL-ISO-C;GI3600 60110102;208;290;380;28.6;0.0229;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"3.6 kVA;230/110 V;16/32 A. Open page confirms VAT included but not rate: NET deliberately blank.";https://www.whisperpower.com/gi-3600-compact-galvanic-isolation-transformer
EL-BAT-A;ER550 12V115Ah;349;175;235;28;0.0144;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"Flooded. Owner only said115 amperes; Ah and unit voltage unconfirmed. 6 physical units; no bank wiring/capacity inferred. Deposit extra. Dealer350mm/29kg differs from brochure.";https://www.exidegroup.com/en/document/ml-brochure-2022
EL-BAT-B;ALS12115 12V115Ah;331;176;220;33.7;0.0128;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"AGM dealer description; legacy manufacturer sheet includes GEL construction wording, chemistry/revision confirmation needed. Body height214mm total220mm; dealer header6.4kg rejected in favour33.7kg technical sheet.";https://aquamot.at/wp-content/uploads/2018/02/Die-Batterie-Aquamot.pdf
EL-BAT-C;AGM Telecom115Ah M8 BAT412105164;395;110;293;35;0.0127;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"12 V AGM front terminal;6 units only if owner confirms115Ah12V. No12V housebus inferred. Open page21% supersedes search19%.";https://www.victronenergy.com/upload/documents/Datasheet-Telecom-batteries-EN.pdf
EL-DIST-A;Lynx Distributor M8 LYN060102000;170;80;290;2.2;0.0039;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"Supports24 V;1000 A product rating not yacht demand; four fuse ways, fuses/monitor supply and full installation separate. Source axis hxlxw=290x170x80; check drawing for orientation.";https://www.victronenergy.com/media/pg/Lynx_Distributor/en/technical-specifications-lynx-distributor.html
EL-DIST-B;STV207 020002071;70;105;210;;0.0015;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"24 V compatible seven-circuit unit benchmark;10 A standard breakers not approved circuit ratings. DC accessory socket not permission for12V loads on24V. Mass not published. Not complete yacht switchboard.";https://www.philippi-online.de/en/collections/serie_200-marine/products/stv-207
EL-DIST-C;LAE113 010001130;100;260;185;;0.0048;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"Factory230 V50Hz panel benchmark for220VAC target;16A/30mA RCBO and3two-pole10A circuits per official description. Not full multi-source AC switchboard; mass unknown.";https://www.philippi-online.de/en/products/lae-113
WC-CH-01;UC16H;350;340;380;38;0.0452;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"16000BTU/h each; illustrative class NOT yacht heatload. Officialcatalog220/1/50; dealer230V. Dimensions exclude controlbox. OEM catalogue says box/display included BUT priced Esco SKU requires airhandler/controlpanel separately: inclusion CONFLICT, RFQ required; do not assume included display.1.5kWnominput at catalogue conditions; independent2module integration open.";https://www.thermowellmarine.com/wp-content/uploads/2023/04/THERMOWELL-2023_rev1_apr_web.pdf
WC-CH-03;BlueCool C16M;385;290;350;30;0.0391;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"16000BTU/h each; officialcurrentdimensions. Older F-suffix dealerweight differs: revision match required.3pricepaths found no verified EU net exactSKU; no US price conversion.";https://www.webasto.com/en-us/cooling/marine-chiller-air-conditioning-units/bluecool-c-series.html
A07;Load-sensing system / bulkhead tank 40L;870;330;705;55;0.2024;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"Справочный габарит настенного танк-модуля из каталога2020; с блоком одного подруливающего, без всей установки. Ещё100мм для замены фильтра. Нужны текущийCAD и расчёт всех потребителей.";https://info.sleipnergroup.com/hubfs/Side-Power_Hydraulic_AC_Thrusters_2020.pdf
A08;Hydro 2;491;341;567.7;63.5;0.0951;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"30л,2мотора24V4kW; стандартная помпа15л/мин140бар. Не доказана пригодность для подруливающих; не назначать резервное питание от6АКБ дорасчёта тока.";https://gallery.harken.com/gallery/3d369089-1f35-489d-8b71-ab3020e962a1.pdf
A12;2000 GPH / model12 /24V;108;108;152;;0.0018;Габарит изделия/указанного модуля, не сервисный объём. Ориентация и состав: см. примечание.;"Габариты из официальной таблицы, у дилера155×105 отличаются; сверить ревизию. Не вся система осушения; поплавок/сигнализация отдельно.";https://www.xylem.com/siteassets/brand/rule/resources/technical-brochure/standard-bilge-pumps-model-number-table.pdf
