candidate_id;me_id;category;manufacturer;model;qty;unit;currency;listed_price;tax_basis;tax_rate;net_unit_price;price_url;spec_url;length_mm;width_mm;height_mm;mass_kg;technical_status;scope_notes;availability;access_date;price_class;evidence_type;price_date;source_revision;eur_net_unit
PROP-E01;ME-01|ME-02|ME-03;engine_gearbox;Volvo Penta;D4-300 I + HS68A;1;package;EUR;44716;"explicit HT; historical March 2023";;44716;https://www.dbmoteurs.fr/sites/default/files/Volvo-Penta-tarifs-prix-achat-moteurs-2023-DB-Moteurs-motorisation-marine-bateau-plaisance.pdf;https://www.dbmoteurs.fr/sites/default/files/Moteur-Volvo-Penta-D4-270-300-320-fiche-commerciale-2021-47711815-en.pdf;;;;580;HISTORICAL_NET_REFERENCE|RFQ_REQUIRED|DUTY_OPEN;"300 metric hp crank / 289 prop shaft at3500rpm; R5; 24V option official but quoted configuration unspecified; HS68A ratio selection open; dimensions for HS85A must not be substituted; ME-03 partial only factory mounts where included: shaft/coupling/thrust unit quantities and price OPEN";2026 availability unknown;2026-09-11;HISTORICAL_NOT_CURRENT;PUBLIC_PRICE_NOT_KP;2023-03;deliverables/M02/v001/01_support/all-candidates.csv;44716.00
PROP-E02;ME-01|ME-02|ME-03;engine_gearbox;Volvo Penta;D4-300 I + HS85A;1;package;EUR;45977;"explicit HT; historical March 2023";;45977;https://www.dbmoteurs.fr/sites/default/files/Volvo-Penta-tarifs-prix-achat-moteurs-2023-DB-Moteurs-motorisation-marine-bateau-plaisance.pdf;https://www.dbmoteurs.fr/sites/default/files/Moteur-Volvo-Penta-D4-270-300-320-fiche-commerciale-2021-47711815-en.pdf;1234;848;794;605;HISTORICAL_NET_REFERENCE|RFQ_REQUIRED|DUTY_OPEN;"300 metric hp crank / 289 prop shaft; 3500rpm R5; 24V option price open; ratio2.500. L=433+801 W=441+407 H=274+520 from drawing; excludes projecting lifting eye/service space; not installation GA; ME-03 partial only factory mounts where included: shaft/coupling/thrust unit quantities and price OPEN";2026 availability unknown;2026-09-11;HISTORICAL_NOT_CURRENT;PUBLIC_PRICE_NOT_KP;2023-03;deliverables/M02/v001/01_support/all-candidates.csv;45977.00
PROP-E03;ME-01|ME-02|ME-03;engine_gearbox;Volvo Penta;D6-300 I + HS85A;1;package;EUR;50146;"explicit HT; historical March 2023";;50146;https://www.dbmoteurs.fr/sites/default/files/Volvo-Penta-tarifs-prix-achat-moteurs-2023-DB-Moteurs-motorisation-marine-bateau-plaisance.pdf;https://www.dbmoteurs.fr/sites/default/files/Moteur-Volvo-Penta-D6-300-340-380-fiche-commerciale-brochure-2021-47711891-fr-dbmoteurs.pdf;1470;848;794;690;HISTORICAL_NET_REFERENCE|RFQ_REQUIRED|DUTY_OPEN;"300 metric hp crank /289 prop shaft;3300rpm. 24V option price open; L=433+1037 W=441+407 H=274+520 drawing dimensions not installation/service envelope; lifting eye extends above dimension; ME-03 partial only factory mounts where included: shaft/coupling/thrust unit quantities and price OPEN";2026 availability unknown;2026-09-11;HISTORICAL_NOT_CURRENT;PUBLIC_PRICE_NOT_KP;2023-03;deliverables/M02/v001/01_support/all-candidates.csv;50146.00
PROP-E04;ME-01|ME-02|ME-03;engine_gearbox;FPT Industrial;C90 410 rating D 300hp + gearbox RFQ;1;package;EUR;;RFQ_REQUIRED;;;https://www.etruck.fi/shop-1;https://www.fptindustrial.com/-/media/FPT/Brochures/Engines/MARINE/COMMERCIAL/Marine_Commercial_FR_2026.pdf?rev=-1;1289;861;973;950;RFQ_REQUIRED|INCOMPLETE_PACKAGE|DUTY_COMPARISON_OPEN;"Official2026 220kW300hp@2000rpm ratingD heavy duty; gearbox unselected/unpriced; shown dimensions length to flywheel and mass ENGINE ONLY; not complete package envelope;24V option RFQ; ME-03 partial only factory mounts where included: shaft/coupling/thrust unit quantities and price OPEN";No exact300hp package price found;2026-09-11;NO_VERIFIED_NET;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;
PROP-G01;ME-04|ME-19;generator;Fischer Panda;Panda12000x PMS;2;package;GBP;16830;explicit inc vat/ex vat pair;20;14025;https://www.jpcdirect.com/product/fischer-panda-12000x-generator/;https://www.onefischerpanda.com/marine/marine-generators/xseries-generators/panda-12000x-pms/;705;450;590;195;CONDITIONAL_START_VOLTAGE|AC_COMPATIBILITY_OPEN|RATING_OPEN|UK_REFERENCE;"12kVA10.2kW nominal; Manel continuous10.8kVA9.2kW;50Hz230V +/-3V;12V starter;capsule included spec; verify exactJPCSKU/manufacturer0024660 and installation accessories; UK import/logistics not included; ME-19 partial factory cooling only: external seawater/exhaust runs and installation OPEN; JPC revision conflict H565 / additional700x470x580 and192kg vs OEM705x450x590/195kg: exactSKU CAD RFQ; OEM values retained";"Available on back-order; qty2 and lead time RFQ";2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;16324.27
PROP-G02;ME-04|ME-19;generator;Kohler / Rehlko;12EFKOZD;2;package;GBP;18484.56;explicit inc vat/ex vat pair;20;15403.8;https://www.jpcdirect.com/product/kohler-12-kilowatt-generator/;https://techcomm.rehlko.com/techcomm/pdf/g2186.pdf;1064;652.5;711;385;CONDITIONAL_CONFIGURATION|AC_COMPATIBILITY_OPEN|RATING_OPEN|UK_REFERENCE;"Singlephase115/230V50Hz:12kW12kVA continuous140C rise;11/11continuous115C;10.5/10.5prime. Official12or24V; JPC exactstarter/shield revision RFQ. Official shield mass385dry398wet; dealer406kg conflict. No borrowing US24V price scope; ME-19 partial factory cooling only: external seawater/exhaust runs and installation OPEN";Available on back-order;2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;17929.12
PROP-G03;ME-04|ME-19;generator;Volpi Tecno Energia;Paguro12000V AP12023050M0;2;package;EUR;14935.8;"direct page12446.50 +IVA; gross14935.80 labelled SK20% locale";20;12446.5;https://www.manelservice.com/it/gruppi-elettrogeni-marini/3925-vte-paguro-12000-v-ap12023050m0.html;https://www.volpitecno.com/portfolio/paguro-12000-v-10-kw-2000-%C3%B7-3000-g-1/;770;460;620;180;CONDITIONAL_START_VOLTAGE|AC_COMPATIBILITY_OPEN|REVISION_OPEN;"12kVA10kW continuous50Hz230V;12V starter;mass165capsule+15control electronics. Official dimensions capsule only; separate electronics footprint RFQ. Dealer/allpa dimensions/mass differ; exact SKU installationdrawing required. Published net directly not Polish VAT assumption; ME-19 partial factory cooling only: external seawater/exhaust runs and installation OPEN";"Manel Disponibile; qty2 and delivery date RFQ";2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;12446.50
PROP-G04;ME-04|ME-19;generator;Kohler / Rehlko;12EFKOZD24-SS;2;package;USD;20165.6;not stated;;;https://mmarineonline.com/products/kohler-marine-diesel-generator-24v-12efkozd-ss-50hz-with-sound-shield;https://techcomm.rehlko.com/techcomm/pdf/g2186.pdf;1064;652.5;711;385;NO_NET|US_REFERENCE_ONLY|AC_COMPATIBILITY_OPEN|RATING_OPEN;"Alternative offer for G02 not fourthgenerator;24V plus shield explicitlySKU; tax/import/Poland availability unknown; price originalUSD noFX; ME-19 partial factory cooling only: external seawater/exhaust runs and installation OPEN";"Contradictory availability template; RFQ";2026-09-11;NO_VERIFIED_NET;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;
EL-INV-A;ME-05;inverter_charger;Victron;MultiPlus-II 24/3000/70-32 PMP242305010;2;pcs;EUR;879.95;GROSS_RATE_CONFIRMED;19;739.45;https://www.svb.de/de/victron-wechselrichter-ladegeraet-multiplus-ii-24-v-3000-va-70-a.html;https://www.victronenergy.com/media/pg/MultiPlus-II_230V/en/technical-specifications-mp-ii-230v.html;141;268;499;19;CONDITIONAL_3KVA_REFERENCE;"24 V input; factory 230 V. 3000 VA not 3000 W: 2400 W at25C/2200 W at40C; charger70 A. 2 devices architecture target, capacity unapproved.";"1 listed in stock; second unconfirmed";2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;739.45
EL-INV-B;ME-05;inverter_charger;Victron;MultiPlus-II GX 24/3000/70-32 PMP242306000;2;pcs;EUR;999.95;GROSS_RATE_CONFIRMED;19;840.29;https://www.svb.de/de/victron-wechselrichter-ladegeraet-multiplus-ii-gx-24-v-3000-va-70-a.html;https://www.victronenergy.com/media/pg/MultiPlus-II_GX/en/technical-specifications-mp-ii-gx-230v.html;147;275;506;20;CONDITIONAL_3KVA_REFERENCE;"24 V; factory230 V;2400 W at25C/2200 W at40C;70 A. GX monitoring differs; two GX units not required by yacht specification. Current manual geometry differs from catalogue: confirm revision.";expected1-2weeks;2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;840.29
