item_id;group;item;quantity;unit;quantity_basis;branch_8lv;branch_6lpa;supply_boundary;interfaces;price_ref;technical_source;required_evidence;closure_owner;status;acceptance;notes
EH01;EXISTING_MAIN_COMPONENT_REFS;"Ссылка на ранее заданные аккумуляторы; не новая закупочная строка";;reference only;"Уже задано 6+2+1=9; quantity пусто для исключения повторного суммирования";N_A;N_A;"M01 ME-07:1 пусковая; ME-08:6 сервисных; ME-27:2 генераторных";Батареи / двигатели / заряд / резервный пуск;M01 ME-07|ME-08|ME-27;deliverables/M01/v001/01_support/owner-requirements.md D018;Паспорта: напряжение каждой АКБ, химия, Ah, CCA и стандарт CCA, BMS и допустимый пусковой ток;Владелец исходных данных + электропроектировщик;OPEN;"В ведомости остаётся 9 физических АКБ; заполнены паспортные характеристики всех 9";"115 ампер не преобразовано в 115 Ah; ссылка не означает наличие купленных АКБ"
EH02;START;Исполнение пуска 24 В для точного двигателя;;functional scope;Количество аппаратов определяется согласованной схемой;OPEN;OPEN;Поставщик двигателя: стартер, соленоид, реле, генератор, ECU/приборы/датчики по совместимой схеме;24 VDC / штатная электрика двигателя;M03 YAN-E01|YAN-E02;https://www.yanmar.com/marine/wp-content/uploads/2020/03/DS_8LV320-350-370_A4_2021_1018_HR.pdf?download=1 | https://www.yanmar.com/marine/wp-content/uploads/2020/05/Yanmar-Datasheet_6LPA-STP2.pdf?download=1;"Есть ли одобренное OEM исполнение 24 В? Дайте SKU, схему, ограничения и гарантийное подтверждение; при отсутствии прямо укажите";Yanmar / поставщик двигателя;OPEN;"Документирована реализуемая архитектура с требованием 24 В; изменения согласованы до закрытия";"Паспорта показывают штатно 12 В; отсутствие найденной опции не доказательство невозможности. Ветка 12 В не принята"
EH03;START;Матрица резервного пуска от каждого исправного донора;;functional scope;Количество аппаратов определяется согласованной схемой;OPEN;OPEN;Системное решение, не один контактор;Каждая из 9 АКБ / пусковые цели / работоспособность основной нагрузки;M01 ME-28;deliverables/M01/v001/01_support/owner-requirements.md D018;Для каждого донора: допустимая цель, напряжение, доступный ток/энергия, условия SOC/температуры, BMS, способ преобразования если нужен;Электропроектировщик + OEM двигателей;OPEN;"Каждый требуемый сценарий подтверждён расчётом и программой испытаний; ограничения явно приняты";"Не обещать запуск от любой одиночной АКБ до проверки; не добавлять АКБ и не назначать последовательную схему"
EH04;START;Дистанционное отсоединение отказавшей батареи и коммутация донора;;functional scope;Количество аппаратов определяется согласованной схемой;SEPARATE;SEPARATE;"Контакторы/изоляторы/блокировки как один функциональный узел; число по схеме";Отказ КЗ / разряд / BMS trip / залипание контакта;M01 ME-28;deliverables/M01/v001/01_support/owner-requirements.md D018;Однолинейная схема и последовательность: обнаружение, изоляция повреждённой ветви, подтверждение положения, разрешение донора;Электропроектировщик + сборщик щита;OPEN;"Отказавшая АКБ не подключается обратно через резерв; исключено недопустимое соединение источников";"Прямая короткая перемычка между неизвестными напряжениями не решение; предусмотреть местное аварийное действие"
EH05;START;Питание и индикация дистанционного резервного управления;;functional scope;Количество аппаратов определяется согласованной схемой;SEPARATE;SEPARATE;Цепи управления/сигнализации, источник независим от отказавшей пусковой ветви;Пост управления / контакторы / обратная связь;M01 ME-28;deliverables/M01/v001/01_support/owner-requirements.md D018;Откуда питается управление при обесточенной пусковой АКБ? Схема, индикация реальных положений и ручное восстановление;Электропроектировщик;OPEN;"Дистанционный перевод доступен при заданном отказе; потеря питания не создаёт опасное соединение";
EH06;START;Пусковые кабели, защита и отключающая способность;;functional scope;Количество аппаратов определяется согласованной схемой;SEPARATE;SEPARATE;Внешняя силовая проводка, наконечники, защита и прокладка;Стартер / контакторы / батареи / общий возврат;M01 ME-28;https://www.yanmar.com/marine/wp-content/uploads/2020/03/DS_8LV320-350-370_A4_2021_1018_HR.pdf?download=1 | https://www.yanmar.com/marine/wp-content/uploads/2020/05/Yanmar-Datasheet_6LPA-STP2.pdf?download=1;"Длина трасс, ток пуска/КЗ, падение напряжения, длительность пуска, нагрев, DC ratings защиты/контактов; обоснование исключений защиты пусковой цепи";Электропроектировщик + электромонтажник;OPEN;Расчёт и спецификация покрывают штатный и резервный пуск, ток КЗ и среду МО;Не назначать сечение или номинал по мощности стартера без пускового тока
EH07;POWER;Заряд и разделение источников;;functional scope;Количество аппаратов определяется согласованной схемой;OPEN;OPEN;Штатный генератор двигателя отделён от судового распределения и зарядных устройств;Сервис / 2 генераторные / главная пусковая / инверторы-зарядники;"M01 ME-05|ME-10|ME-28; M03 YAN-E01|YAN-E02";deliverables/M01/v001/01_support/owner-requirements.md D018 | https://www.yanmar.com/marine/wp-content/uploads/2020/03/DS_8LV320-350-370_A4_2021_1018_HR.pdf?download=1 | https://www.yanmar.com/marine/wp-content/uploads/2020/05/Yanmar-Datasheet_6LPA-STP2.pdf?download=1;Матрица зарядных режимов химии/BMS, напряжения, токи, изоляция обратных токов, действия при отказе/размыкании нагрузки;Электропроектировщик + OEM;OPEN;"Ни одна АКБ не заряжается несовместимым режимом; резервная коммутация согласована с работающими зарядниками";"Не добавлять отдельный преобразователь до выбора архитектуры; 12-вольтовый генератор не принят как судовая сеть"
EH08;POWER;Распределение 24 VDC / 220 VAC и возврат токов;;functional scope;Количество аппаратов определяется согласованной схемой;SEPARATE;SEPARATE;"Судовые щиты/кабели/защита; число шкафов пока не задано";Берег / 2 генератора / инверторы / алюминиевый корпус;M01 ME-04|ME-05|ME-09|ME-10;deliverables/M01/v001/01_support/owner-requirements.md D018;Однолинейная схема: напряжение/частота, переключение источников, защита утечки, PE/DC return, уравнивание потенциалов и коррозионная защита;Электропроектировщик + верфь;OPEN;"Подтверждены 24 В DC и 220 В AC для потребителей; исключены непредусмотренная параллель источников и токовый возврат через корпус";"50 Гц — прежняя проектная цель, не новое подтверждение владельца; 230 В паспортов согласовать с 220 В требованием"
EH09;CONTROL;Приборная панель и моторный жгут;;functional scope;Количество аппаратов определяется согласованной схемой;INCLUDED_DEALER_STATEMENT;SEPARATE;"8LV заявлен VC20/панель/проводка; 6LPA выбрать одну B/C/D и верный жгут";Двигатель / пост / сигнализация / напряжение;"M03 YAN-E01; M04 A01|A02|A03|A06";deliverables/M04/v001/01_support/ancillaries.md;Упаковочная спецификация, SKU панели и моторного/удлинительного жгута, длины, разъёмы и рабочее напряжение;Поставщик двигателя;OPEN;"Состав подтверждён по точному серийному исполнению; встроенные датчики/детали панели не задвоены";"Для STP2 77760 против старого 77720; длина 6 м условна"
EH10;CONTROL;Газ/реверс, нейтраль и разрешение пуска;;functional scope;Количество аппаратов определяется согласованной схемой;OPEN;SEPARATE;"8LV проверить состав VC20; 6LPA механический пост, тросы, кронштейны и нейтральная блокировка";Редуктор / двигатель / PTO / посты;"M04 A07; M03 YAN-E01";deliverables/M04/v001/00_yanmar-completeness.md;"Схема управления и комплектность каждого поста; нейтральный датчик, ход тросов/актуаторов, отказ питания";Поставщик управления + верфь;OPEN;"Пуск при включённой передаче заблокирован; команды PTO/газа/реверса согласованы";"Панель приборов не заменяет управление движением; число постов открыто"
