item_id;group;item;quantity;unit;quantity_basis;branch_8lv;branch_6lpa;supply_boundary;interfaces;price_ref;technical_source;required_evidence;closure_owner;status;acceptance;notes
M01;PK01;Главный двигатель:8LV320 либо6LPA-STP2;1;шт;"Одна силовая установка; две альтернативы не суммируются";INCLUDED_DEALER_STATEMENT;INCLUDED_DEALER_STATEMENT;"8LV в пакете;6LPA bobtail";Нагрузка/редуктор/пуск/фундаменты;M03 YAN-E01 /YAN-E02;"M03/yanmar/research.md; OEM8LV2021spec and2019manual; M04/gearbox.md; OEM6LPA2021spec and partsfig48";"ТочныйSKU/серийная ревизия; допустимый длительный режим; документы применимостиЕС";Поставщик двигателя + проектант;OPEN;Подтверждён требуемый полезный ходовой результат и допустимость поставки;"8LV320мhp не300continuous; оба исходно12V;6LPA RCD1 applicabilityOPEN"
M02;PK01;Редуктор KMH50A либо KMH50A-LP;1;шт;Один из альтернативных редукторов;INCLUDED_DEALER_STATEMENT;SEPARATE;"8LV вместе с двигателем;LP отдельное предложение";Отношение/фланцы/направление вращения/управление;"M03 YAN-E01; M05 GA01/GA02/GA03";"M04/gearbox.md; OEM6LPA2021spec and partsfig48";"BOM исполнения; расчёт отношения и винта; состав охлаждения/управления";Поставщик + проектант пропульсии;OPEN;Редуктор согласован с двигателем и винтом;"LP ratio2.13 только кандидат; историческийGA03 не текущаяцена"
M03;PK01;Торсионный демпфер;1;шт;"Функционально1; отдельная закупка лишь если отсутствует в выбранном пакете";OPEN;OPEN;"Проверить включённость;119773-85520 только кандидат6LPA";Маховик/входной вал/торсионные колебания;M04 GB03;"M04/gearbox.md; OEM6LPA2021spec and partsfig48";"Совместимость/замена артикула; включённость; торсионное согласование";Поставщик силового комплекта;OPEN;Один согласованный демпфер без двойного счёта;"85520 заменяет85500; не передний демпфер коленвала"
M04;PK01;Присоединительный корпус, фланцы, лапы и крепёж;;позиции BOM;Количество после ведомости точного двигателя/редуктора;OPEN;OPEN;Только стык двигателя с редуктором;"BorgWarner/SAE; болтовые соединения";;"M04/gearbox.md; OEM6LPA2021spec and partsfig48";Монтажный чертёж и артикулы присоединения;Поставщик комплекта;OPEN;Стык комплектен по монтажному BOM;
M05;PK01;Гребной вал;1;шт;"Предварительно одна валовая линия для одного двигателя; схема на согласовании";SEPARATE;SEPARATE;"Изготовление вала; без подшипников/уплотнения/винта";Редуктор/дейдвуд/винт;;Проектная декомпозиция M06;Материал,диаметр,длина,конусы/шпонки,расчёт и чертёж;Проектант пропульсии + изготовитель;OPEN;Вал соответствует утверждённой схеме;Число1 — рабочая схема, размерыOPEN
M06;PK01;Выходная муфта валопровода;1;шт;Один стык редуктора и вала по рабочей схеме;OPEN;OPEN;Не входной демпферM03;Выходной фланец/осевая нагрузка/допуск несоосности;;Проектная декомпозиция M06;"Чертёж фланца; допустимые нагрузки; включённость";Проектант + поставщик;OPEN;Совместимый согласованный стык;
M07;PK01;Дейдвудное уплотнение;1;шт;Один ввод вала по рабочей схеме;SEPARATE;SEPARATE;Уплотнение и его локальные подключения;Вал/корпус/охлаждение/аварийный доступ;;Проектная декомпозиция M06;"Диаметр; режим смазки/водоснабжения; сервисный доступ";Проектант + поставщик;OPEN;Герметичность и доступ по инструкции изделия;
M08;PK01;Дейдвуд, подшипники и наружные опоры;;позиции BOM;Количество и состояние исходного корпуса после обследования;OPEN;OPEN;Не закупать уже существующее без проверки;Вал/корпус/гальваническая развязка;;Проектная декомпозиция M06;"Обмеры исходного корпуса; схема опор; нагрузки";Корпусный проектант + верфь;OPEN;Согласованы опоры и линия вала;
M09;PK01;Гребной винт;1;шт;Один винт для рабочей одновальной схемы;SEPARATE;SEPARATE;Тип/диаметр/шаг/лопасти не выбраны;Вал/корпус/двигатель/редуктор;;Проектная декомпозиция M06;"Расчёт хода и кавитации; зазоры; сопротивление под парусом";Проектант пропульсии;OPEN;Достижение согласованных режимов без перегрузки двигателя;
M10;PK01;Отдельный упорный подшипник и гибкая передача;;условная позиция;Только если выбрана схема с разгрузкой редуктора;OPTIONAL;OPTIONAL;Не обязательное дополнение к любой муфте;Осевая нагрузка/корпус/центровка;;Проектная декомпозиция M06;Решение по передаче упора и расчёт фундамента;Проектант;OPEN;Схема утверждена или позиция исключена;
