id;package;me;type;qty;unit;name;source;net_unit;tax_mode;rate;source_gross_eur;scope_status;price_class;note;url;original_price;original_currency;net_eur;vat_eur;gross_eur
PK01-B-L01;PK01;ME-01|ME-02;Оборудование / компонент;1;package;Yanmar 8LV320E-KMH50A + VC20;YAN-E01;;SOURCE_GROSS;;58842;OPEN;NO_VERIFIED_NET;"320 mhp / 235 kW at 3800 rpm; 1 engine + 1 KMH50A + VC20; manufacturer 2021 package dry mass 435+52 kg and envelope with gear/elbow; standard 12V starter; front belt PTO optional capacity unverified; dealer includes mounts/panel/wiring/fluids; installed propulsion scope incomplete | Исходный gross включает налог неизвестной ставки; без повторного23%. NET и выделенныйVAT открыты.";https://www.abma-sneek.nl/yanmar/engines-gears-drives/powerboat-engines?prod_id=650436;58842;EUR;;;58842.00
PK02-B-L01;PK02;ME-04|ME-19;Оборудование / компонент;2;package;Fischer Panda 12000x-230V PMS NautiRadar0028284;PAN-G02;17451.22;PL23_ESTIMATE;23;;OPEN;OBSERVED_NET_CONDITIONAL_SCOPE;"50Hz230V not yet accepted as220V target;2generators retained;standard datasheet12Vstarter, priced24V SKU unconfirmed. 10.2kW/12kVA NOMINAL at20C;2026catalogue treats0.85 kVA factor as short inductive starting only;hot continuous useful output OPEN. Capsule dimensions exclude fittings and service space;ME19 partial factory cooling only. SellerSKU0028284 vsOEMsheet0024660:exact revision must be tied to offer. EU seller does not yet prove EU dispatch/free-circulation/Poland delivery. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";https://www.nautiradar.pt/en/products/fischer-panda/panda-12000x-230v-pms-12kva-fixed-engine-speed-marine-generator;17451.22;EUR;34902.44;8027.56;42930.00
PK03-B-L01;PK03;ME-05;Оборудование / компонент;2;pcs;Victron MultiPlus-II GX 24/3000/70-32 PMP242306000;EL-INV-B;840.29;PL23_ESTIMATE;23;;OPEN;OBSERVED_NET_CONDITIONAL_SCOPE;"24 V; factory230 V;2400 W at25C/2200 W at40C;70 A. GX monitoring differs; two GX units not required by yacht specification. Current manual geometry differs from catalogue: confirm revision. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";https://www.svb.de/de/victron-wechselrichter-ladegeraet-multiplus-ii-gx-24-v-3000-va-70-a.html;999.95;EUR;1680.58;386.53;2067.11
PK03-B-L02;PK03;ME-09;Оборудование / компонент;;pcs;Mastervolt Mass GI3.5 88000355;EL-ISO-B;1008.36;PL23_ESTIMATE;23;;OPEN;OBSERVED_NET_CONDITIONAL_SCOPE;"3500 VA at230 V;16 A;HF technology;source IP23 supersedes dealer IP21. Not complete shore protection. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";https://www.svb24.com/en/mastervolt-mass-gi-3-5-isolation-transformer-16-a-3-5-kw.html;1008.36;EUR;;;
PK04-B-L01;PK04;ME-08;Оборудование / компонент;6;pcs;Aquamot ALS12115 12V115Ah;EL-BAT-B;268.07;PL23_ESTIMATE;23;;OPEN;OBSERVED_NET_CONDITIONAL_SCOPE;"AGM dealer description; legacy manufacturer sheet includes GEL construction wording, chemistry/revision confirmation needed. Body height214mm total220mm; dealer header6.4kg rejected in favour33.7kg technical sheet. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";https://www.nothnagel-marine.de/product_info.php?info=p3857_aquamot---power-battery--dc-battery-als12115-12v-115ah-agm-deep-cycle-battery.html&language=en;319.00;EUR;1608.42;369.94;1978.36
PK04-B-L02;PK04;ME-07;Оборудование / компонент;1;pcs;Пусковая АКБ двигателя — тип уточняется;EL-OPEN-MAIN;;PL23_ESTIMATE;23;;OPEN;NO_VERIFIED_NET;"1 physical owner battery, capacity/voltage/chemistry unknown. Not automatically ER550 or service115Ah. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";;;;;;
PK04-B-L03;PK04;ME-27;Оборудование / компонент;2;pcs;Пусковые АКБ генераторов — тип уточняется;EL-OPEN-GEN;;PL23_ESTIMATE;23;;OPEN;NO_VERIFIED_NET;"2 physical owner batteries for2generators; capacity/voltage/CCA unknown; keep9total with6service+1main. No fictitious unit price. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";;;;;;
PK04-B-L04;PK04;ME-28;Оборудование / компонент;;pcs;Blue Sea ML-RBS7702 24V;EL-REM-A;239.45;PL23_ESTIMATE;23;;OPEN;OBSERVED_NET_CONDITIONAL_SCOPE;"Manual override;24V coil;500A continuous product rating. Quantity, control failover, crank duty and24V live switching not qualified; dimensions drawing pending. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";https://www.svb24.com/en/blue-sea-hd-remote-battery-switch-24v.html;239.45;EUR;;;
PK05-B-L01;PK05;ME-11;Оборудование / компонент;1;шт;Gianneschi EcoInox1 GE011 24V20L;WC-DC-02;1093.25;PL23_ESTIMATE;23;;OPEN;OBSERVED_NET_CONDITIONAL_SCOPE;"45L/min max; common proposed15L/min at2bar needs curve. Includes20L tank/gauge/pressure switch; current OEM revision confirmation. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";https://www.comptoirnautique.com/groupe-d-eau-hydrophore/22947-gianneschi-groupe-d-eau-ecoinox-1-avec-reservoir-20l-24v-45lmin-7024.html;1311.9;EUR;1093.25;251.45;1344.70
PK05-B-L02;PK05;ME-12;Оборудование / компонент;1;шт;Gianneschi EcoInox2 GE017 230V20L;WC-AC-02;1052.50;PL23_ESTIMATE;23;;OPEN;OBSERVED_NET_CONDITIONAL_SCOPE;"Open page1052.50HT supersedes search992.50. Dealer max55L/min conflicts Kent45: curves required.0.45kW/20L; common15L/min at2bar not verified. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";https://www.tyboat.com/achat/P-57388-gianneschi-groupe-d-eau-ecoinox2-3-5-bars-0-45-kw-55-litres-minute-reservoir-20-litres-230-volts.html;1263;EUR;1052.50;242.08;1294.58
PK06-B-L01;PK06;ME-13;Оборудование / компонент;1;шт;Schenker ZEN150 — базовая цена «от», полный состав открыт;WC-RO-02;10683.50;PL23_ESTIMATE;23;;OPEN;FROM_INCOMPLETE_CONFIGURATION;"Observed FROM base price; net is FROM benchmark only, NOT complete Touch/salinity/reject price. Nominal150L/h. Manufacturer230V±15% includes220V. Basic has no salinity; Touch optional; 24V variant permitted. Modular unit dimensions not total installed envelope. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";https://mar-nautic.com/schenker-watermaker-zen-150;12820.2;EUR;10683.50;2457.21;13140.71
PK07-B-L01;PK07;ME-14;Оборудование / компонент;;шт;Quick BX 40L1200W FLBX4012S000A00;WC-HW-02;690.83;PL23_ESTIMATE;23;;OPEN;OBSERVED_NET_CONDITIONAL_SCOPE;"40L1200W220V plus engine heat exchanger common illustrative class; not owner size. Supplier dimensions/mass in research only pending official drawing. Thermostatic mixing equalise separately. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";https://www.tyboat.com/achat/P-8880-quick-chauffe-eau-cylindrique-bx-40-litres-220-volts-1200-watts.html;829;EUR;;;
PK08-B-L01;PK08;ME-15;Оборудование / компонент;2;шт;Climma CWS Aquacontrol161RC 230/1/50;WC-CH-02;4155.30;PL23_ESTIMATE;23;;OPEN;OBSERVED_NET_CONDITIONAL_SCOPE;"16000BTU/h each; reversecycle. Price recovered live requests HTTP200 after web429; local source text retained. OEM dimensions require authenticated download; old dealerPDF not promoted. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";https://mdislandsupply.com/en/climma/879-cws-aquacontrol-161-rc-230150-climma.html;4155.3;EUR;8310.60;1911.44;10222.04
PK08-B-L02;PK08;ME-16;Оборудование / компонент;;шт;Frigomar NH150PS SWM0150230;WC-AUX-01;663.25;PL23_ESTIMATE;23;;OPEN;OBSERVED_NET_CONDITIONAL_SCOPE;"230V50/60Hz magneticdrive; count and pump duty notfixed. No proof this model meets both seawater and chilledwater circuits; official detailed curve required. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";https://www.comptoirnautique.com/climatisation-bateau/91819-frigomar-pompes-a-entrainement-magnetique.html;795.9;EUR;;;
PK09-B-L01;PK09;ME-18;Оборудование / компонент;;шт;Parker Racor 75500MAXM30;A09;1848.66;PL23_ESTIMATE;23;;OPEN;VARIABLE_PRICE_RECONFIRM;"Root open2612.00gross/19%=2194.96NET; повторное открытие независимым агентом2199.90gross/19%=1848.66NET. Принято последнее наблюдение, расхождение сохранено; подтвердить цену до сравнения. Дуплексный узел, микроны/расход одной ветви под двигатель. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";https://racorshop.de/product/racor-75500maxm30-turbine-filter-marine/;2199.90;EUR;;;
PK09-B-L02;PK09;ME-19;Оборудование / компонент;;шт;Vetus FTR33032M;A11;164.46;PL23_ESTIMATE;23;;OPEN;OBSERVED_NET_CONDITIONAL_SCOPE;"NET явно exclusiefBTW; усиленная версия с металлической крышкой. Сравнение с FTR330/32 требует одинаковых давления/установочного положения. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";https://www.mediawinkel.eu/nl/heavy-duty-waterfilter-32-mm.html;164.46;EUR;;;
