handle,type,layer_g01,layer_oda,differing_fields,geometry_max_abs_delta,pass_tolerance_1e-8
4ED0,LWPOLYLINE,44,44,,0.0,True
4F37,LWPOLYLINE,43,43,,0.0,True
4F9E,LWPOLYLINE,42,42,,0.0,True
5005,LWPOLYLINE,41,41,,0.0,True
506C,LWPOLYLINE,40,40,,0.0,True
50D3,LWPOLYLINE,39,39,,0.0,True
513A,LWPOLYLINE,38,38,,0.0,True
51A1,LWPOLYLINE,37,37,,0.0,True
5208,LWPOLYLINE,36,36,,0.0,True
526F,LWPOLYLINE,35,35,,0.0,True
52D6,LWPOLYLINE,34,34,,0.0,True
533D,LWPOLYLINE,33,33,,0.0,True
53A4,LWPOLYLINE,32,32,,0.0,True
540B,LWPOLYLINE,31,31,,0.0,True
5472,LWPOLYLINE,30,30,,0.0,True
54D9,LWPOLYLINE,29,29,,0.0,True
5540,LWPOLYLINE,28,28,,0.0,True
55A7,LWPOLYLINE,27,27,,0.0,True
560E,LWPOLYLINE,26,26,,0.0,True
5675,LWPOLYLINE,25,25,,0.0,True
56DC,LWPOLYLINE,24,24,,0.0,True
5743,LWPOLYLINE,23,23,,0.0,True
57AA,LWPOLYLINE,22,22,,0.0,True
5811,LWPOLYLINE,21,21,,9.094947017729282e-13,True
5878,LWPOLYLINE,20,20,,1.3642420526593924e-12,True
58DF,LWPOLYLINE,19,19,,1.3642420526593924e-12,True
5946,LWPOLYLINE,18,18,,1.3642420526593924e-12,True
59AD,LWPOLYLINE,17,17,,1.3642420526593924e-12,True
5A14,LWPOLYLINE,16,16,,1.3642420526593924e-12,True
5A7B,LWPOLYLINE,15,15,,1.3642420526593924e-12,True
5AE2,LWPOLYLINE,14,14,,1.3642420526593924e-12,True
5B49,LWPOLYLINE,13,13,,1.3642420526593924e-12,True
5BB0,LWPOLYLINE,12,12,,1.3642420526593924e-12,True
5C17,LWPOLYLINE,11,11,,1.3642420526593924e-12,True
5C7E,LWPOLYLINE,10,10,,1.3642420526593924e-12,True
5CE5,LWPOLYLINE,9,9,,1.3642420526593924e-12,True
5D4C,LWPOLYLINE,8,8,,1.3642420526593924e-12,True
5DB3,LWPOLYLINE,7,7,,1.3642420526593924e-12,True
5E1A,LWPOLYLINE,6,6,,1.1368683772161603e-12,True
5E81,LWPOLYLINE,5,5,,1.1368683772161603e-12,True
5EE8,LWPOLYLINE,4,4,,1.1368683772161603e-12,True
5F4F,LWPOLYLINE,3,3,,1.1368683772161603e-12,True
5FB6,LWPOLYLINE,2,2,,1.1368683772161603e-12,True
601D,LWPOLYLINE,1,1,,1.1368683772161603e-12,True
6084,LWPOLYLINE,0,0,,1.1368683772161603e-12,True
60EB,LWPOLYLINE,-1,-1,,1.1368683772161603e-12,True
6152,LWPOLYLINE,-2,-2,,1.1368683772161603e-12,True
61B9,LWPOLYLINE,-3,-3,,0.0,True
6220,LWPOLYLINE,-4,-4,,0.0,True
6287,LINE,CENTER,CENTER,,0.0,True
6288,LWPOLYLINE,45,45,,0.0,True
62E5,LINE,CENTER,CENTER,,0.0,True
62E6,LINE,HELP,HELP,,0.0,True
62E7,LINE,HELP,HELP,,0.0,True
62E8,LINE,HELP,HELP,,0.0,True
62E9,LINE,HELP,HELP,,0.0,True
62EA,LINE,HELP,HELP,,0.0,True
62EB,LINE,HELP,HELP,,0.0,True
62EC,LINE,HELP,HELP,,0.0,True
62ED,LINE,HELP,HELP,,0.0,True
62EE,LINE,HELP,HELP,,1.1368683772161603e-12,True
62EF,LINE,HELP,HELP,,0.0,True
62F0,LINE,HELP,HELP,,9.094947017729282e-13,True
62F1,LINE,HELP,HELP,,0.0,True
62F2,LINE,HELP,HELP,,0.0,True
62F3,LINE,HELP,HELP,,9.094947017729282e-13,True
62F4,LINE,HELP,HELP,,0.0,True
62F5,LINE,HELP,HELP,,0.0,True
62F6,LINE,HELP,HELP,,0.0,True
62F7,LINE,HELP,HELP,,0.0,True
62F8,LINE,HELP,HELP,,0.0,True
62F9,LINE,HELP,HELP,,9.094947017729282e-13,True
62FA,LINE,HELP,HELP,,0.0,True
62FB,LINE,HELP,HELP,,9.094947017729282e-13,True
