ME_group;drawing_ids;locations_or_status;meaning
ME-01;D;wet;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-02;D;wet;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-03;V;wet;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-04;G1|G2;wet;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-05;INV1|INV2;dry;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-06;IW;dry;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-07;BD;dry;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-08;BS1|BS2|BS3|BS4|BS5|BS6;dry;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-09;ISO;dry;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-10;DC|AC;dry;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-11;W24;wet;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-12;W220;wet;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-13;RO;wet;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-14;HW;wet;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-15;C1|C2;wet;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-16;CP;wet;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-17;HW;wet;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-18;F;wet;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-19;EX1|EX2|EX3;wet;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-20;BIL;wet;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-21;FIRE;EXTERNAL_LOCATION_OPEN;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-22;AIR1|AIR2;wet;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-23;OIL;wet;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-24;TANK;EXTERNAL_TANK_VOLUMES_OPEN;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-25;SAN;EXTERNAL_LOCATION_OPEN;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-26;HEAT;CONDITIONAL_NOT_ADOPTED;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-27;BG1|BG2;dry;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-28;DC;dry;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
ME-29;H|HP;UNPLACED_REQUIRED|wet;FUNCTION_COVERED_NOT_FULL_INSTALLATION_FIT
