candidate_id;me_id;category;manufacturer;model;qty;unit;currency;listed_price;tax_basis;tax_rate;net_unit_price;price_url;spec_url;length_mm;width_mm;height_mm;mass_kg;technical_status;scope_notes;availability;access_date
A01;ME-29;Бак гидравлики;Vetus;HT1010;;шт;GBP;2412.08;NET_EXPLICIT;;2412.08;https://www.vetus-shop.com/aluminium-hydraulic-tank-70-incl-ht1013-p-2024.html;https://webshop.vetus.com/nl/products/power-hydraulics/hydraulische-tanks;;;;;PARTIAL_HYDRAULIC_NOT_COMPLETE;"70л; HT1013 включён. Цена бака с частью управления, не станции. 615×475×360мм у продавца — только голый бак без клапанов, не монтажный габарит.";Out of Stock;2026-09-11
A02;ME-29;Насос гидравлики;Vetus;HT1016SD2;;шт;GBP;2716.67;NET_EXPLICIT;;2716.67;https://www.vetus-shop.com/vetus-power-hydraulics-c-21_210.html;;;;;;PARTIAL_HYDRAULIC_NOT_COMPLETE;"45см³/оборот; ориентация/SAE/привод и требуемый расход не выбраны. Не три уровня насосов разного размера.";Не подтверждено;2026-09-11
A03;ME-29;Охладитель масла;Vetus;HT301132;;шт;GBP;517.50;NET_EXPLICIT;;517.50;https://www.vetus-shop.com/aluminium-hydraulic-tank-70-incl-ht1013-p-2024.html;;;;;;PARTIAL_HYDRAULIC_NOT_COMPLETE;"Шланг32мм; теплоотдача/забортный контур требуют проверки; не доказана необходимость именно этого размера.";Не подтверждено;2026-09-11
A04;ME-29;Клапан якорной лебёдки;Vetus;HT102312;;шт;GBP;487.92;NET_EXPLICIT;;487.92;https://www.vetus-shop.com/aluminium-hydraulic-tank-70-incl-ht1013-p-2024.html;;;;;;PARTIAL_HYDRAULIC_NOT_COMPLETE;"Один тип клапана; не весь блок гидролебёдок, количество потребителей открыто.";Не подтверждено;2026-09-11
A05;ME-29;Управление нагрузкой;Vetus;HT1011;;шт;GBP;715.83;NET_EXPLICIT;;715.83;https://www.vetus-shop.com/vetus-power-hydraulics-c-21_210.html;;;;;;PARTIAL_HYDRAULIC_NOT_COMPLETE;"Одноступенчатый load sensing; пригодность к общей системе открыта.";Не подтверждено;2026-09-11
A06;ME-29;Клапан подруливающего;Vetus;HT1013;;шт;GBP;300.83;NET_EXPLICIT;;300.83;https://www.vetus-shop.com/aluminium-hydraulic-tank-70-incl-ht1013-p-2024.html;;;;;;INCLUDED_COMPONENT_DO_NOT_ADD;"Уже входит в HT1010; отдельная цена только для дополнительного потребителя, не прибавлять повторно.";Не подтверждено;2026-09-11
A07;ME-29;Общая гидросистема;Sleipner;Load-sensing system / bulkhead tank 40L;;шт;EUR;;RFQ_REQUIRED;;;;https://info.sleipnergroup.com/hubfs/Side-Power_Hydraulic_AC_Thrusters_2020.pdf;870;330;705;55;RFQ_REQUIRED_TECH_OPEN;"Справочный габарит настенного танк-модуля из каталога2020; с блоком одного подруливающего, без всей установки. Ещё100мм для замены фильтра. Нужны текущийCAD и расчёт всех потребителей.";Не подтверждено;2026-09-11
A08;ME-29;Палубная гидростанция;Harken;Hydro 2;;шт;EUR;;RFQ_REQUIRED;;;;https://gallery.harken.com/gallery/3d369089-1f35-489d-8b71-ab3020e962a1.pdf;491;341;567.7;63.5;RFQ_REQUIRED_THRUSTER_CAPABILITY_OPEN;"30л,2мотора24V4kW; стандартная помпа15л/мин140бар. Не доказана пригодность для подруливающих; не назначать резервное питание от6АКБ дорасчёта тока.";Не подтверждено;2026-09-11
A09;ME-18;Дуплексный топливный фильтр;Parker Racor;75500MAXM30;;шт;EUR;2199.90;GROSS_RATE_VERIFIED;19;1848.66;https://racorshop.de/product/racor-75500maxm30-turbine-filter-marine/;https://www.parker.com/content/dam/Parker-com/Literature/Racor-Europe/FDRB544UK_BRO_Distribution_Solution_Brochure-_Racor_Europe.pdf;;;;;PRICE_VARIATION_RECONFIRM_TECH_OPEN;"Root open2612.00gross/19%=2194.96NET; повторное открытие независимым агентом2199.90gross/19%=1848.66NET. Принято последнее наблюдение, расхождение сохранено; подтвердить цену до сравнения. Дуплексный узел, микроны/расход одной ветви под двигатель.";1 in stock;2026-09-11
A10;ME-19;Фильтр забортной воды;Vetus;FTR330/32;;шт;GBP;81.67;NET_EXPLICIT;;81.67;https://www.vetus-shop.com/vetus-raw-water-strainer-type-330-and21632mm-p-1026.html;;;;;;UNIT_BENCHMARK_TECH_OPEN;"Типоразмер32мм только ориентир; диаметр и положение относительно ватерлинии по выбранному агрегату.";10+ in stock;2026-09-11
