group;candidate_id;model;price_order_only;eur_net_unit;quantity;eur_fixed_qty_line;price_class;limitation;price_url
Генераторы, 2 шт;PROP-G03;Paguro12000V AP12023050M0;Нижняя;12446.50;2;24893.00;OBSERVED_NET_CONDITIONAL_SCOPE;"Три цены за разные исполнения; нагрузка и резерв при отказе ещё не проверены.";https://www.manelservice.com/it/gruppi-elettrogeni-marini/3925-vte-paguro-12000-v-ap12023050m0.html
Генераторы, 2 шт;PROP-G01;Panda12000x PMS;Средняя;16324.27;2;32648.54;OBSERVED_NET_CONDITIONAL_SCOPE;"Три цены за разные исполнения; нагрузка и резерв при отказе ещё не проверены.";https://www.jpcdirect.com/product/fischer-panda-12000x-generator/
Генераторы, 2 шт;PROP-G02;12EFKOZD;Верхняя;17929.12;2;35858.24;OBSERVED_NET_CONDITIONAL_SCOPE;"Три цены за разные исполнения; нагрузка и резерв при отказе ещё не проверены.";https://www.jpcdirect.com/product/kohler-12-kilowatt-generator/
Инверторы, 2 шт;EL-INV-A;MultiPlus-II 24/3000/70-32 PMP242305010;Нижняя;739.45;2;1478.90;OBSERVED_NET_CONDITIONAL_SCOPE;Мощность поиска, не проект. Различия зарядки/мониторинга/схемы доводятся до нужного результата.;https://www.svb.de/de/victron-wechselrichter-ladegeraet-multiplus-ii-24-v-3000-va-70-a.html
Инверторы, 2 шт;EL-INV-B;MultiPlus-II GX 24/3000/70-32 PMP242306000;Средняя;840.29;2;1680.58;OBSERVED_NET_CONDITIONAL_SCOPE;Мощность поиска, не проект. Различия зарядки/мониторинга/схемы доводятся до нужного результата.;https://www.svb.de/de/victron-wechselrichter-ladegeraet-multiplus-ii-gx-24-v-3000-va-70-a.html
Инверторы, 2 шт;EL-INV-C;CombiMaster 24/3000-60 230V 35023000;Верхняя;1344.50;2;2689.00;OBSERVED_NET_CONDITIONAL_SCOPE;Мощность поиска, не проект. Различия зарядки/мониторинга/схемы доводятся до нужного результата.;https://www.svb.de/de/mastervolt-wechselrichter-ladegeraet-combimaster-24-v-3000-va-60-a.html?question_sort=oldest
Сервисные АКБ, 6 шт условно;EL-BAT-A;ER550 12V115Ah;Нижняя;140.24;6;841.44;OBSERVED_NET_CONDITIONAL_SCOPE;"Только ветвь 115 А·ч / 12 В; нужны подтверждение владельца, доступная энергия и ресурс.";https://online-batterien.de/a/exide-er550-dual-versorgungsbatterie-starterbatterie-12v-115ah-550wh/400440
Сервисные АКБ, 6 шт условно;EL-BAT-B;ALS12115 12V115Ah;Средняя;268.07;6;1608.42;OBSERVED_NET_CONDITIONAL_SCOPE;"Только ветвь 115 А·ч / 12 В; нужны подтверждение владельца, доступная энергия и ресурс.";https://www.nothnagel-marine.de/product_info.php?info=p3857_aquamot---power-battery--dc-battery-als12115-12v-115ah-agm-deep-cycle-battery.html&language=en
Сервисные АКБ, 6 шт условно;EL-BAT-C;AGM Telecom115Ah M8 BAT412105164;Верхняя;272.69;6;1636.14;OBSERVED_NET_CONDITIONAL_SCOPE;"Только ветвь 115 А·ч / 12 В; нужны подтверждение владельца, доступная энергия и ресурс.";https://ab-marineservice.com/product/12v-115ah-agm-telecom-batt-m8/
Бойлер, цена за шт;WC-HW-01;B3 40L1200W FLB34012S000A00;Нижняя;614.17;;;OBSERVED_NET_CONDITIONAL_SCOPE;40 л — пример, количество открыто. Сравнить полезный запас горячей воды и обслуживание.;https://www.tyboat.com/achat/P-8889-quick-chauffe-eau-cylindrique-b3-40-litres-220-volts-1200-watts.html
