me_id;equipment;quantity;quantity_status;records;net_records;candidate_ids;complete_three_offers;next_work
ME-01;Главный морской дизель;1;TARGET;4;3;PROP-E01 | PROP-E02 | PROP-E03 | PROP-E04;NO — OUTPUT/SCOPE OPEN;Нет трёх текущих NET. Нужны сопротивление/скорость, рабочий рейтинг, PTO, 24 В и полный комплект.
ME-02;Морской редуктор;1;PROPOSED_DERIVED;4;3;PROP-E01 | PROP-E02 | PROP-E03 | PROP-E04;NO — OUTPUT/SCOPE OPEN;"Цена частично в моторном пакете. Отдельный редуктор повторно не добавлять; отношение и PTO открыты."
ME-03;Муфта, опоры, упорный узел и элементы валопровода;;OPEN;4;3;PROP-E01 | PROP-E02 | PROP-E03 | PROP-E04;NO — OUTPUT/SCOPE OPEN;Полного валопровода нет: вал, дейдвуд, уплотнение, муфта, упор, монтаж и согласование винта.
ME-04;Дизель-генераторы в акустическом исполнении;2;TARGET;4;3;PROP-G01 | PROP-G02 | PROP-G03 | PROP-G04;NO — OUTPUT/SCOPE OPEN;"Три наблюдаемые NET есть; полезная мощность, резерв при отказе, пусковое напряжение и обвязка не уравнены."
ME-05;Основные инверторы-зарядные устройства;2;ARCHITECTURE_TARGET;3;3;EL-INV-A | EL-INV-B | EL-INV-C;NO — OUTPUT/SCOPE OPEN;Три цены условного класса. Нужен баланс нагрузок, пуск, заряд, разделение ветвей и допустимый параллельный режим.
ME-06;Независимое инверторное питание AC насоса пресной воды;1;TARGET_FUNCTION;1;0;EL-OPEN-PUMP;NO — OUTPUT/SCOPE OPEN;Одна резервная функция, не автоматически третий инвертор. Мощность насоса и схема открыты.
ME-07;Пусковой аккумулятор главного двигателя;1;OWNER_FIXED_COUNT;1;0;EL-OPEN-MAIN;NO — OUTPUT/SCOPE OPEN;"Одна АКБ; напряжение/CCA/химия и выбранный двигатель открыты, цены нет."
ME-08;Сервисные аккумуляторы;6;OWNER_FIXED_COUNT;3;3;EL-BAT-A | EL-BAT-B | EL-BAT-C;NO — OUTPUT/SCOPE OPEN;"Три цены только условных 115 А·ч / 12 В. Владелец не подтвердил единицу и напряжение; химия/автономность открыты."
ME-09;Разделительный трансформатор / подготовка берегового питания;;OPEN;3;2;EL-ISO-A | EL-ISO-B | EL-ISO-C;NO — OUTPUT/SCOPE OPEN;Две NET и одна цена с неизвестной ставкой. Ток берега, число устройств и электрическая схема открыты.
ME-10;Распределение AC/DC, переключение источников, зарядная и защитная автоматика;;OPEN;3;3;EL-DIST-A | EL-DIST-B | EL-DIST-C;NO — OUTPUT/SCOPE OPEN;Цены отдельных разных компонентов, не трёх щитов. Полные 24 В DC / AC щиты, защиты, заряд и кабели открыты.
ME-11;Напорная насосная установка пресной воды24VDC;1;TARGET;3;2;WC-DC-01 | WC-DC-02 | WC-DC-03;NO — OUTPUT/SCOPE OPEN;Две NET, третий RFQ. Рабочая точка и состав, точное соответствие OEM/SKU открыты.
ME-12;Напорная насосная установка пресной воды220VAC;1;TARGET;3;1;WC-AC-01 | WC-AC-02 | WC-AC-03;NO — OUTPUT/SCOPE OPEN;Одна NET, два RFQ. Напор/расход в точках потребления и комплектность открыты.
ME-13;Опреснитель обратного осмоса;1;TARGET;3;2;WC-RO-01 | WC-RO-02 | WC-RO-03;NO — OUTPUT/SCOPE OPEN;Базовая NET, цена ОТ, третий RFQ. Довести каждую систему до нужной воды, промывки и контроля качества.
ME-14;Бойлеры-калориферы ГВС;;OPEN;3;3;WC-HW-01 | WC-HW-02 | WC-HW-03;NO — OUTPUT/SCOPE OPEN;Три единичные NET для примеров 40 л. Количество и потребность горячей воды не заданы.
ME-15;Независимые чиллерные модули кондиционирования;2;TARGET;3;2;WC-CH-01 | WC-CH-02 | WC-CH-03;NO — OUTPUT/SCOPE OPEN;"Две NET, третий RFQ. Два чиллера сохранены; тепловая нагрузка, климат помещений и состав управления открыты."
ME-16;Насосы, расширительные ёмкости и обвязка климатической системы;;OPEN;1;1;WC-AUX-01;NO — OUTPUT/SCOPE OPEN;Один ценовой ориентир насоса. Нужны циркуляция, морская вода, клапаны, трубы, изоляция и полная автоматика.
ME-17;Гидроаккумуляторы, коллекторы, фильтры, клапаны и рециркуляция ГВС;;OPEN;2;1;WC-AUX-02 | WC-AUX-03;NO — OUTPUT/SCOPE OPEN;Смесительный узел и фильтр — фрагменты. Количества, аккумуляторы давления и полная обвязка открыты.
ME-18;Топливная фильтрация, подача, перекачка и отсечки;;OPEN;1;1;A09;NO — OUTPUT/SCOPE OPEN;Одна меняющаяся цена duplex-фильтра. Нужны вся топливная схема, обратки, сепарация и пожарное отсечение.
ME-19;Забортное охлаждение и выхлоп двигателя и генераторов;;OPEN;6;5;PROP-G01 | PROP-G02 | PROP-G03 | PROP-G04 | A10 | A11;NO — OUTPUT/SCOPE OPEN;Цены фильтров и отдельные части генераторного пакета. Водозаборы, охлаждение, выхлопы и длины открыты.
ME-20;Осушение: локальные насосы, центральный аварийный, ручной и сигнализация;;OPEN;3;3;A12 | A13 | A14;NO — OUTPUT/SCOPE OPEN;Цены насоса, ручного насоса и сигнализации не закрывают систему. Нужны расчёт притока, напора и отсеков.
ME-21;Стационарное пожаротушение и защита МО;;OPEN;1;0;A20;NO — OUTPUT/SCOPE OPEN;Поисковая цена исключена. Нужны защищаемый объём, агент тушения, отключения и полное согласованное оснащение.
ME-22;Приточная и вытяжная вентиляция МО;;OPEN;1;0;A15;NO — OUTPUT/SCOPE OPEN;"Цена не допущена; напор/расход и тепловыделение не заданы. Вентиляторы, каналы и заслонки открыты."
ME-23;Сервис МО: маслосмена, поддоны, освещение, контроль и сигнализация;;OPEN;1;1;A16;NO — OUTPUT/SCOPE OPEN;"Есть насос замены масла; свет, сервисные соединения и инструментальная обвязка открыты."
ME-24;Танки топлива/воды и их оснащение;;INTERFACE_OPEN;2;2;A17 | A18;NO — OUTPUT/SCOPE OPEN;Есть только датчики, не танки. Объёмы, встроенное изготовление, люки и испытания открыты.
ME-25;Санитарная забортная подача, насосы стоков и вентиляция танков;;INTERFACE_OPEN;1;1;A19;NO — OUTPUT/SCOPE OPEN;"Один насос стоков; танки, вентиляция, управление и полный маршрут открыты."
ME-26;Резервное водяное отопление;;CONDITIONAL;2;1;A21 | A22;NO — OUTPUT/SCOPE OPEN;"Опция. Один NET комплекта котла, другой налоговый конфликт исключён; полный отопительный контур не оценён."
ME-27;Пусковые аккумуляторы генераторов;2;OWNER_FIXED_COUNT;1;0;EL-OPEN-GEN;NO — OUTPUT/SCOPE OPEN;"Две АКБ сохранены; выбранные генераторы, пусковой ток и напряжение открыты, цены нет."
ME-28;Дистанционная система резервного пуска;;REQUIRED_BOM_OPEN;2;2;EL-REM-A | EL-REM-B;NO — OUTPUT/SCOPE OPEN;"Два контактора как разные компоненты; не полная резервная система. Нужны изоляция отказавшей АКБ и совместимые пути пуска."
ME-29;Гидросиловая установка и центральная обвязка;;REQUIRED_BOM_OPEN;8;6;A01 | A02 | A03 | A04 | A05 | A06 | A07 | A08;NO — OUTPUT/SCOPE OPEN;Три архитектуры, не три готовые станции. PTO/резерв, тяга подрулек, лебёдки, одновременность и полный состав открыты.
