candidate_id;me_id;category;manufacturer;model;qty;unit;currency;listed_price;tax_basis;tax_rate;net_unit_price;price_url;spec_url;length_mm;width_mm;height_mm;mass_kg;technical_status;scope_notes;availability;access_date
EL-INV-A;ME05;inverter_charger;Victron;MultiPlus-II 24/3000/70-32 PMP242305010;2;pcs;EUR;879.95;GROSS_RATE_CONFIRMED;19;739.45;https://www.svb.de/de/victron-wechselrichter-ladegeraet-multiplus-ii-24-v-3000-va-70-a.html;https://www.victronenergy.com/media/pg/MultiPlus-II_230V/en/technical-specifications-mp-ii-230v.html;141;268;499;19;CONDITIONAL_3KVA_REFERENCE;"24 V input; factory 230 V. 3000 VA not 3000 W: 2400 W at25C/2200 W at40C; charger70 A. 2 devices architecture target, capacity unapproved.";"1 listed in stock; second unconfirmed";2026-09-11
EL-INV-B;ME05;inverter_charger;Victron;MultiPlus-II GX 24/3000/70-32 PMP242306000;2;pcs;EUR;999.95;GROSS_RATE_CONFIRMED;19;840.29;https://www.svb.de/de/victron-wechselrichter-ladegeraet-multiplus-ii-gx-24-v-3000-va-70-a.html;https://www.victronenergy.com/media/pg/MultiPlus-II_GX/en/technical-specifications-mp-ii-gx-230v.html;147;275;506;20;CONDITIONAL_3KVA_REFERENCE;"24 V; factory230 V;2400 W at25C/2200 W at40C;70 A. GX monitoring differs; two GX units not required by yacht specification. Current manual geometry differs from catalogue: confirm revision.";expected1-2weeks;2026-09-11
EL-INV-C;ME05;inverter_charger;Mastervolt;CombiMaster 24/3000-60 230V 35023000;2;pcs;EUR;1599.96;GROSS_RATE_CONFIRMED;19;1344.50;https://www.svb.de/de/mastervolt-wechselrichter-ladegeraet-combimaster-24-v-3000-va-60-a.html?question_sort=oldest;https://www.mastervolt.com/products/combimaster/combimaster-24-3000-60-230-v/;155;284;448;9.3;CONDITIONAL_3KVA_NOT_EQUAL_W;"24 V; factory230 V;3000 VA/2600 W at40C;60 A charger;25 A transfer versus32 A Victron. Parallel operation not qualified.";"1 listed in stock; second unconfirmed";2026-09-11
EL-ISO-A;ME09;isolation_transformer;Victron;3600 ITR040362042;;pcs;EUR;436.93;NET_EXPLICIT;;436.93;https://www.svb24.com/en/p/victron-isolation-transformer-3600-w-115-230-v.html;https://www.victronenergy.com/upload/documents/Datasheet-Isolation-Transformers-EN.pdf;221;258;362;21.7;CONDITIONAL_UNIT_BENCHMARK_DIMENSIONS_DEALER;"3.6 class; quantity and shore capacity unknown. Dimensions/mass from opened dealer data pending native drawing confirmation; no substitute of32A at115V for32A at230V.";expected1-2weeks;2026-09-11
EL-ISO-B;ME09;isolation_transformer;Mastervolt;Mass GI3.5 88000355;;pcs;EUR;1008.36;NET_EXPLICIT;;1008.36;https://www.svb24.com/en/mastervolt-mass-gi-3-5-isolation-transformer-16-a-3-5-kw.html;https://www.mastervolt.com/products/mass-gi/mass-gi-35-kva-16a-lightweight/;144;261;340;6;CONDITIONAL_UNIT_BENCHMARK;"3500 VA at230 V;16 A;HF technology;source IP23 supersedes dealer IP21. Not complete shore protection.";1 listed in stock;2026-09-11
EL-ISO-C;ME09;isolation_transformer;WhisperPower;GI3600 60110102;;pcs;EUR;1885.00;GROSS_RATE_UNCONFIRMED;;;https://www.hansenautic.de/36377/wp-gi-compact-galvanic-isolation-transformator-230v-16a-120v-32a/;https://www.whisperpower.com/gi-3600-compact-galvanic-isolation-transformer;208;290;380;28.6;CONDITIONAL_NET_PENDING_TAX;"3.6 kVA;230/110 V;16/32 A. Open page confirms VAT included but not rate: NET deliberately blank.";availability on request;2026-09-11
EL-BAT-A;ME08;service_battery;Exide;ER550 12V115Ah;6;pcs;EUR;166.89;GROSS_RATE_CONFIRMED;19;140.24;https://online-batterien.de/a/exide-er550-dual-versorgungsbatterie-starterbatterie-12v-115ah-550wh/400440;https://www.exidegroup.com/en/document/ml-brochure-2022;349;175;235;28;CONDITIONAL_115AH12V_NOT_OWNER_APPROVED;"Flooded. Owner only said115 amperes; Ah and unit voltage unconfirmed. 6 physical units; no bank wiring/capacity inferred. Deposit extra. Dealer350mm/29kg differs from brochure.";not in stock;2026-09-11
EL-BAT-B;ME08;service_battery;Aquamot;ALS12115 12V115Ah;6;pcs;EUR;319.00;GROSS_RATE_CONFIRMED;19;268.07;https://www.nothnagel-marine.de/product_info.php?info=p3857_aquamot---power-battery--dc-battery-als12115-12v-115ah-agm-deep-cycle-battery.html&language=en;https://aquamot.at/wp-content/uploads/2018/02/Die-Batterie-Aquamot.pdf;331;176;220;33.7;CONDITIONAL_115AH12V_NOT_OWNER_APPROVED;"AGM dealer description; legacy manufacturer sheet includes GEL construction wording, chemistry/revision confirmation needed. Body height214mm total220mm; dealer header6.4kg rejected in favour33.7kg technical sheet.";"3-7days; abroad may vary";2026-09-11
EL-BAT-C;ME08;service_battery;Victron;AGM Telecom115Ah M8 BAT412105164;6;pcs;EUR;329.95;GROSS_RATE_CONFIRMED;21;272.69;https://ab-marineservice.com/product/12v-115ah-agm-telecom-batt-m8/;https://www.victronenergy.com/upload/documents/Datasheet-Telecom-batteries-EN.pdf;395;110;293;35;CONDITIONAL_115AH12V_NOT_OWNER_APPROVED;"12 V AGM front terminal;6 units only if owner confirms115Ah12V. No12V housebus inferred. Open page21% supersedes search19%.";backorder3-5workingdays;2026-09-11
EL-DIST-A;ME10;dc_distribution_module;Victron;Lynx Distributor M8 LYN060102000;;pcs;EUR;182.75;NET_EXPLICIT;;182.75;https://www.dynastart.nl/lyn060102000-lynx-distributor-m8;https://www.victronenergy.com/media/pg/Lynx_Distributor/en/technical-specifications-lynx-distributor.html;170;80;290;2.2;CONDITIONAL_UNIT_BENCHMARK;"Supports24 V;1000 A product rating not yacht demand; four fuse ways, fuses/monitor supply and full installation separate. Source axis hxlxw=290x170x80; check drawing for orientation.";in stock;2026-09-11
