candidate_id;me_id;category;manufacturer;model;qty;unit;currency;listed_price;tax_basis;tax_rate;net_unit_price;price_url;spec_url;length_mm;width_mm;height_mm;mass_kg;technical_status;scope_notes;availability;access_date
WC-RO-01;ME-13;RO150;Aquatec;AC150 230V single phase;1;шт;EUR;7539;EXPLICIT_NET_AND_19_PERCENT_GROSS;19;6335.29;https://www.aquatec-watermaker.de/wassermacher-produkt-ac150-ac240.html;https://www.aquatec-watermaker.de/wassermacher-produkt-ac150-ac240.html;;;;;"FUNCTION_PARITY_OPEN;220V_COMPATIBILITY_OPEN";"150 L/h nominal ±10% at25C/35000ppm; modular conventional HP pump; base price only: automatic flush/salinity/reject parity must be itemised; generator minimum4kW manufacturer target, not electrical demand or selection";NOT_CONFIRMED;2026-09-11
WC-RO-02;ME-13;RO150;Schenker;ZEN150 24V/230V Touch plus salinity/reject;1;шт;EUR;12820.2;FROM_GROSS_EXPLICIT_20_PERCENT;20;10683.5;https://mar-nautic.com/schenker-watermaker-zen-150;https://schenkerwatermakers.com/wp-content/uploads/2025/03/ZEN150_datasheet_v4.pdf;;;;;"FROM_PRICE_NOT_CONFIGURED;RFQ_REQUIRED";"Observed FROM base price; net is FROM benchmark only, NOT complete Touch/salinity/reject price. Nominal150L/h. Manufacturer230V±15% includes220V. Basic has no salinity; Touch optional; 24V variant permitted. Modular unit dimensions not total installed envelope.";"Out of stock; order lead time on request";2026-09-11
WC-RO-03;ME-13;RO150;Osmosea;NEW12 150C 24V;1;шт;EUR;;;;;https://www.manelservice.com/en/marine-desalination-systems/17102-osmosea-new12-150c-nautical-watermaker-150-lth.html;https://osmosea.it/en/new-12/;;;;63;"RFQ_REQUIRED;COMPACT_CANDIDATE";"Official150L/h/600W; flush/salinometer/unsafe-water discard included. Official63kg conflicts dealer65kg; dimensions dealer796x317x408 not official therefore blank. Dealer install/service kits included vs manufacturer optional: reconcile";NOT_CONFIRMED;2026-09-11
WC-DC-01;ME-11;FRESHWATER_24V;CEM;OSC-16.062.24 / OEM identity reconcile;1;шт;EUR;1229.9;EXPLICIT_HT;;1024.92;https://www.comptoirnautique.com/groupe-d-eau-a-pressostat/53022-cem-elettromeccanica-autoclave-cem-vase-expansion-inox-20l-24v-50-l-min.html;https://cempumps.com/wp-content/uploads/2024/10/Autoclavi_20L-20X.pdf;;;;;WORKING_POINT_AND_OEM_ID_OPEN;"24V20L accumulator; dealer50L/min max; source model mapping not proven. Common proposed test15L/min at2bar NOT verified. Do not add included tank again.";"Preorder; replenishment23/09/2026";2026-09-11
WC-DC-02;ME-11;FRESHWATER_24V;Gianneschi;EcoInox1 GE011 24V20L;1;шт;EUR;1311.9;EXPLICIT_HT;;1093.25;https://www.comptoirnautique.com/groupe-d-eau-hydrophore/22947-gianneschi-groupe-d-eau-ecoinox-1-avec-reservoir-20l-24v-45lmin-7024.html;https://www.gianneschipumps.com/GIANNESCHI_Brochure-web.pdf;;;;;WORKING_POINT_OPEN;"45L/min max; common proposed15L/min at2bar needs curve. Includes20L tank/gauge/pressure switch; current OEM revision confirmation.";In stock48/72h;2026-09-11
WC-DC-03;ME-11;FRESHWATER_24V;ENAG;GH24-0.37-24L-OT RB18-ED;1;шт;EUR;;;;;https://www.enag.fr/english/wp-content/uploads/sites/5/2022/11/FC-GH-EN-C.pdf;https://www.enag.fr/english/wp-content/uploads/sites/5/2022/11/FC-GH-EN-C.pdf;;;;29;"RFQ_REQUIRED;WORKING_POINT_OPEN";"Official24V/0.37kW; 1m3/h at30m published point; pressure switch1.5/2.5bar.24L tank differs20L competitors: standardise accumulator scope before comparison. Dimensions drawing orientation not mapped into LWH.";NOT_CONFIRMED;2026-09-11
WC-AC-01;ME-12;FRESHWATER_AC;CEM;J-INOX/20X 230M;1;шт;EUR;;;;;https://cempumps.com/wp-content/uploads/2024/10/Autoclavi_20L-20X.pdf;https://cempumps.com/wp-content/uploads/2024/10/Autoclavi_20L-20X.pdf;;;;;"RFQ_REQUIRED;220V_COMPATIBILITY_OPEN;WORKING_POINT_OPEN";Official230V singlephase variant exists. Proposedcommon15L/min at2bar not accepted from maxflow.20L stainless tank included. No price borrowed from24V sibling.;NOT_CONFIRMED;2026-09-11
WC-AC-02;ME-12;FRESHWATER_AC;Gianneschi;EcoInox2 GE017 230V20L;1;шт;EUR;1263;EXPLICIT_HT;;1052.5;https://www.tyboat.com/achat/P-57388-gianneschi-groupe-d-eau-ecoinox2-3-5-bars-0-45-kw-55-litres-minute-reservoir-20-litres-230-volts.html;https://www.gianneschipumps.com/GIANNESCHI_Brochure-web.pdf;;;;;"220V_COMPATIBILITY_OPEN;WORKING_POINT_OPEN";"Open page1052.50HT supersedes search992.50. Dealer max55L/min conflicts Kent45: curves required.0.45kW/20L; common15L/min at2bar not verified.";Stock1–6businessdays;2026-09-11
WC-AC-03;ME-12;FRESHWATER_AC;ENAG;GH230mono-0.37-24L-JET M-ED;1;шт;EUR;;;;;https://www.enag.fr/english/wp-content/uploads/sites/5/2022/11/FC-GH-EN-C.pdf;https://www.enag.fr/english/wp-content/uploads/sites/5/2022/11/FC-GH-EN-C.pdf;;;;18;"RFQ_REQUIRED;220V_COMPATIBILITY_OPEN;WORKING_POINT_OPEN";"Explicit230V singlephase; official1m3/h at40m, pressure switch1.5/2.5bar.24L accumulator vs20L needs standardisation; no equivalence claim.";NOT_CONFIRMED;2026-09-11
WC-CH-01;ME-15;CHILLER_REFERENCE_16000BTUH;Thermowell;UC16H;2;шт;EUR;4544.35;GROSS_EXPLICIT_ALV25.5;25.5;3621.0;https://www.esconet.fi/shop/uc16h-thermowell-uc16h-ilmastointilaite-chiller-230v-16000btu-27518;https://www.thermowellmarine.com/wp-content/uploads/2023/04/THERMOWELL-2023_rev1_apr_web.pdf;350;340;380;38;"REFERENCE_SIZE_ONLY;VOLTAGE_REVISION_CHECK;SUPPLY_SCOPE_CONFLICT_RFQ";"16000BTU/h each; illustrative class NOT yacht heatload. Officialcatalog220/1/50; dealer230V. Dimensions exclude controlbox. OEM catalogue says box/display included BUT priced Esco SKU requires airhandler/controlpanel separately: inclusion CONFLICT, RFQ required; do not assume included display.1.5kWnominput at catalogue conditions; independent2module integration open.";"Esco stock0; supplier availability unknown";2026-09-11
WC-CH-02;ME-15;CHILLER_REFERENCE_16000BTUH;Climma;CWS Aquacontrol161RC 230/1/50;2;шт;EUR;4155.3;EXPLICIT_TAX_EXCLUDED;;4155.3;https://mdislandsupply.com/en/climma/879-cws-aquacontrol-161-rc-230150-climma.html;https://www.veco.net/en/prodotti/climma-cws-aquacontrol-chillers/;;;;;"REFERENCE_SIZE_ONLY;220V_COMPATIBILITY_OPEN";"16000BTU/h each; reversecycle. Price recovered live requests HTTP200 after web429; local source text retained. OEM dimensions require authenticated download; old dealerPDF not promoted.";"Last items;1–2businessdays claim";2026-09-11
