check_id;variant_id;required_scope;status;closure_evidence;owner;cost_location
PK01-A-S01;PK01-A;"Двигатель и согласованный редуктор, заводские опоры, управление и жгуты; муфта, упорный узел, вал, дейдвуд, подшипники, уплотнение и согласованный движитель; монтаж, центровка, настройка и собственные испытания";OPEN;;;
PK01-A-S02;PK01-A;Включения двигателя раскрыть по позициям;OPEN;;;
PK01-A-S03;PK01-A;"Внешнее топливо, охлаждение, выхлоп и вентиляция — PK09; гидронасос и его силовой привод — PK12; механическая совместимость PTO — интерфейс PK01/PK12";OPEN;;;
PK01-A-EXT;PK01-A;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK01-B-S01;PK01-B;"Двигатель и согласованный редуктор, заводские опоры, управление и жгуты; муфта, упорный узел, вал, дейдвуд, подшипники, уплотнение и согласованный движитель; монтаж, центровка, настройка и собственные испытания";OPEN;;;
PK01-B-S02;PK01-B;Включения двигателя раскрыть по позициям;OPEN;;;
PK01-B-S03;PK01-B;"Внешнее топливо, охлаждение, выхлоп и вентиляция — PK09; гидронасос и его силовой привод — PK12; механическая совместимость PTO — интерфейс PK01/PK12";OPEN;;;
PK01-B-EXT;PK01-B;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK01-C-S01;PK01-C;"Двигатель и согласованный редуктор, заводские опоры, управление и жгуты; муфта, упорный узел, вал, дейдвуд, подшипники, уплотнение и согласованный движитель; монтаж, центровка, настройка и собственные испытания";OPEN;;;
PK01-C-S02;PK01-C;Включения двигателя раскрыть по позициям;OPEN;;;
PK01-C-S03;PK01-C;"Внешнее топливо, охлаждение, выхлоп и вентиляция — PK09; гидронасос и его силовой привод — PK12; механическая совместимость PTO — интерфейс PK01/PK12";OPEN;;;
PK01-C-EXT;PK01-C;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK02-A-S01;PK02-A;"Два генераторных агрегата с согласованными капсулами, опорами, собственным управлением и заводским оснащением; монтаж, местная настройка и испытания каждого";OPEN;;;
PK02-A-S02;PK02-A;"Внешние независимые топливные, водяные и выхлопные ветви — PK09; силовое переключение, распределение и кабели — PK03; пусковые АКБ и резервные связи — PK04";OPEN;;;
PK02-A-S03;PK02-A;Параллельную работу не считать включённой по умолчанию;OPEN;;;
PK02-A-EXT;PK02-A;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK02-B-S01;PK02-B;"Два генераторных агрегата с согласованными капсулами, опорами, собственным управлением и заводским оснащением; монтаж, местная настройка и испытания каждого";OPEN;;;
PK02-B-S02;PK02-B;"Внешние независимые топливные, водяные и выхлопные ветви — PK09; силовое переключение, распределение и кабели — PK03; пусковые АКБ и резервные связи — PK04";OPEN;;;
PK02-B-S03;PK02-B;Параллельную работу не считать включённой по умолчанию;OPEN;;;
PK02-B-EXT;PK02-B;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK02-C-S01;PK02-C;"Два генераторных агрегата с согласованными капсулами, опорами, собственным управлением и заводским оснащением; монтаж, местная настройка и испытания каждого";OPEN;;;
PK02-C-S02;PK02-C;"Внешние независимые топливные, водяные и выхлопные ветви — PK09; силовое переключение, распределение и кабели — PK03; пусковые АКБ и резервные связи — PK04";OPEN;;;
PK02-C-S03;PK02-C;Параллельную работу не считать включённой по умолчанию;OPEN;;;
PK02-C-EXT;PK02-C;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
