variant_id;package_id;description;fixed_quantities;technical_status;commercial_status;tax_completeness;selection;open_inputs
PK01-A;PK01;D4-300 I + HS85A;"1 двигатель; 1 редуктор предлагается";NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;300 л.с. — исходный ориентир. Скорость, сопротивление, рабочий режим и PTO не рассчитаны. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK01-B;PK01;8LV320E-KMH50A + VC20;"1 двигатель; 1 редуктор предлагается";NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;300 л.с. — исходный ориентир. Скорость, сопротивление, рабочий режим и PTO не рассчитаны. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK01-C;PK01;C90 410 rating D 300hp + gearbox RFQ;"1 двигатель; 1 редуктор предлагается";NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;300 л.с. — исходный ориентир. Скорость, сопротивление, рабочий режим и PTO не рассчитаны. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK02-A;PK02;Paguro12000V AP12023050M0;2 генератора;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Около 11.5–12 кВА — исходный ориентир. Постоянные и пиковые нагрузки, режим отказа открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK02-B;PK02;12000x-230V PMS NautiRadar0028284;2 генератора;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Около 11.5–12 кВА — исходный ориентир. Постоянные и пиковые нагрузки, режим отказа открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK02-C;PK02;12EFKOZD;2 генератора;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Около 11.5–12 кВА — исходный ориентир. Постоянные и пиковые нагрузки, режим отказа открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK03-A;PK03;MultiPlus-II 24/3000/70-32 PMP242305010 + 3600 ITR040362042;"2 основных инвертора; 1 независимая функция питания насоса";NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;3 кВА — поисковый класс, не утверждённая мощность. Баланс и береговой ввод открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK03-B;PK03;MultiPlus-II GX 24/3000/70-32 PMP242306000 + Mass GI3.5 88000355;"2 основных инвертора; 1 независимая функция питания насоса";NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;3 кВА — поисковый класс, не утверждённая мощность. Баланс и береговой ввод открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK03-C;PK03;CombiMaster 24/3000-60 230V 35023000 + Mass GI3.5 88000355;"2 основных инвертора; 1 независимая функция питания насоса";NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;3 кВА — поисковый класс, не утверждённая мощность. Баланс и береговой ввод открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK04-A;PK04;ER550 12V115Ah + UNSIZED + UNSIZED + ML-RBS7702 24V;6 сервисных + 2 генераторных + 1 главного двигателя;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Уточнение 115 ампер/А·ч и напряжения каждой АКБ ожидается. Пусковые токи, химия и допустимый разряд открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
