item_id;model;role;qty_basis;currency;listed_price;tax_basis;tax_rate;net_price;url;scope;compatibility;status;access_date
GB01;Yanmar KMH50A MFG04558 ratio2.13;new gearbox candidate;1 gearbox alternative;EUR;4500.00;"TTC; rate not stated";;;https://loisirsnautiques74.com/pieces-diverses/contenu_9803.html;"Dealer explicitly new; production year and warranty not stated; cooler/damper/feet/controls inclusion not confirmed";"OEM supports KMH50A-LP on6LPA-STP2 ratio2.13; identity of listed unit with LP package and mechanical control requires serial/BOM match";"NEW_GROSS_VERIFIED; NET_RATE_OPEN; EXACT_ASSEMBLY_OPEN";2026-09-11
GB02;Yanmar KMH50A-LP 1.67 /2.13 /2.43;OEM historical gearbox reference;"1 gearbox alternative; choose1ratio";EUR;3914.00;excl VAT directly stated;;3914.00;https://www.yanmar.com/marine/wp-content/uploads/2022/08/2022_0308_bobtail-YBX-prijslijst_final.pdf;"2022 historical OEM price page4; not current offer; same price eachratio, not3gearboxes";"OEM explicitly for6LP-STP2; do not substitute8LV E-shift or4LV variants";"HISTORICAL_2022; EXCLUDE_CURRENT_TOTAL";2026-09-11
GB03;Yanmar119773-85520 damper HSW630 / Torflex1000;torsional damper candidate;1 only if not included in engine/gear package;EUR;797.34;ex VAT directly stated;;797.34;https://www.dutchengineparts.nl/damper-hsw630-119773-85520.html;"New dealer item;1-3workingdays todealer not delivery toPoland; replaces85500 per IMC; nottwo dampers";"Dealer explicitly6LPA-STP2 fig48ref4; legacyOEMparts fig48ref4; exactserial and coupling interface match required";"NEW_NET_VERIFIED; INCLUDED_SCOPE_OPEN";2026-09-11
GB04;Yanmar177523-04820 oil cooler;gear oil heat exchanger candidate;"1 only if not included; variant confirm";EUR;1636.17;ex VAT directly stated;;1636.17;https://www.dutchengineparts.nl/cooler-oil-177523-04820.html;"New exchanger only; not full assembled cooling kit; bracket/hoses/fittings/clamps outside this price;1-3workingdays todealer";"KMH50A listed; Yanmarshopfig9 includes04820 variants177523/177524; matchserial and hose layout before supply";"NEW_NET_VERIFIED; SERIAL_VARIANT_OPEN; COOLING_KIT_INCOMPLETE";2026-09-11
A01;Yanmar 119773-91132 panel B;instrument_panel_alternative;1 panel total: choose B OR C OR D;EUR;1108.55;NET explicitly ex VAT;;1108.55;https://www.dutchengineparts.nl/panel-instrument-b-119773-91132.html;"Level1 instrument panel assembly; not meter kit; do not add child components";"OEM6LPA-STP2 Fig52/53/54; exact6LPAM serial and engine harness match required; 12V reference not24V conversion";PUBLIC_PRICE_CONDITIONAL_CONFIG;2026-09-11
A02;Yanmar 119773-91163 panel C;instrument_panel_alternative;1 panel total: choose B OR C OR D;EUR;1443.87;NET explicitly ex VAT;;1443.87;https://www.dutchengineparts.nl/panel-instrument-c-119773-91163.html;"Level1 instrument panel assembly; not meter kit; do not add child components";"OEM6LPA-STP2 Fig52/53/54; exact6LPAM serial and engine harness match required; 12V reference not24V conversion";PUBLIC_PRICE_CONDITIONAL_CONFIG;2026-09-11
A03;Yanmar 119773-91193 panel D;instrument_panel_alternative;1 panel total: choose B OR C OR D;EUR;2135.46;NET explicitly ex VAT;;2135.46;https://www.dutchengineparts.nl/panel-instrument-d-119773-91193.html;"Level1 instrument panel assembly; not meter kit; do not add child components";"OEM6LPA-STP2 Fig52/53/54; exact6LPAM serial and engine harness match required; 12V reference not24V conversion";PUBLIC_PRICE_CONDITIONAL_CONFIG;2026-09-11
A04;Yanmar 119773-08300;flexible_mount;"2 pcs of this SKU; 4 mounts total";EUR;255.81;NET explicitly ex VAT;;255.81;https://www.dutchengineparts.nl/rubber-cushion-119773-08300.html;"Unit price; 2x08300+2x08310=990.46 EUR NET; assembly child nuts not double counted";"OEM6LPA-STP2 Fig4; gearbox variant and actual included mounting feet RFQ";PUBLIC_PRICE_CONDITIONAL_CONFIG;2026-09-11
A05;Yanmar 119773-08310;flexible_mount;"2 pcs of this SKU; 4 mounts total";EUR;239.42;NET explicitly ex VAT;;239.42;https://www.dutchengineparts.nl/rubber-cushion-119773-08310.html;"Unit price; 2x08300+2x08310=990.46 EUR NET; assembly child nuts not double counted";"OEM6LPA-STP2 Fig4; gearbox variant and actual included mounting feet RFQ";PUBLIC_PRICE_CONDITIONAL_CONFIG;2026-09-11
A06;Yanmar129574-77720 6m;extension_harness_conditional;"1 cable only if old6LPAM connector variant confirmed;6m provisional";EUR;169.32;NET explicitly ex VAT;;169.32;https://www.dutchengineparts.nl/harness-wire-6m-129574-77720.html;"6m extension only; engine-side harness and sensors not included";"Older OEM6LPAM catalogue confirms77720; STP2 May2018 Fig55 instead77760; no proven interchangeability";PUBLIC_PRICE_CONDITIONAL_CONFIG;2026-09-11
A07;Ultraflex B183 /45.452.04;mechanical_throttle_shift_control;"1 proposed station; stations not yet fixed";EUR;213.64;NET explicitly ex VAT;;213.64;https://boatshop.lv/product/45-452-04?lang=en;"Dealer also gross258.50; control head only;2pushpull cables/brackets/neutral safety switch not included";"OEM generic throttle+gearshift function; Yanmar/KMH stroke,endfittings and X12 neutral interlock verify";PUBLIC_PRICE_CONDITIONAL_CONFIG;2026-09-11
